order_id,order_date,sku,quantity_ordered,unit_price,customer_region,order_status,fulfillment_center,expected_ship_date,actual_ship_date,priority_flag,order_value,shipping_delay_days,is_high_priority,is_cancelled,is_returned,is_completed,is_shipping_delayed
ORD-500045,2024-01-01,SKU-10413,42,53.95,Midwest,Returned,FC-01,2024-01-04,,High,2265.9,,True,False,True,False,False
ORD-500046,2024-01-01,SKU-10220,32,80.22,Northeast,Completed,FC-04,2024-01-02,2024-01-04,Normal,2567.04,2.0,False,False,False,True,True
ORD-500047,2024-01-01,SKU-10373,49,14.41,West,Completed,FC-01,2024-01-03,2024-01-05,Normal,706.09,2.0,False,False,False,True,True
ORD-500048,2024-01-01,SKU-10173,12,41.51,Midwest,Completed,FC-02,2024-01-03,2024-01-04,Normal,498.12,1.0,False,False,False,True,True
ORD-500049,2024-01-01,SKU-10229,49,26.47,Northeast,Completed,FC-02,2024-01-02,2024-01-03,Normal,1297.03,1.0,False,False,False,True,True
ORD-500050,2024-01-01,SKU-10127,49,146.61,Northeast,Completed,FC-05,2024-01-05,2024-01-05,High,7183.89,0.0,True,False,False,True,False
ORD-500051,2024-01-01,SKU-10333,23,45.4,West,Cancelled,FC-01,2024-01-02,,Normal,1044.2,,False,True,False,False,False
ORD-500052,2024-01-01,SKU-10434,1,39.74,Midwest,Completed,FC-04,2024-01-03,2024-01-02,Normal,39.74,-1.0,False,False,False,True,False
ORD-500053,2024-01-01,SKU-10109,44,69.93,West,Returned,FC-02,2024-01-05,,Normal,3076.92,,False,False,True,False,False
ORD-500054,2024-01-01,SKU-10199,11,58.6,Northeast,Completed,FC-03,2024-01-02,2024-01-03,Normal,644.6,1.0,False,False,False,True,True
ORD-500055,2024-01-01,SKU-10490,38,58.33,Northeast,Cancelled,FC-02,2024-01-05,,Normal,2216.54,,False,True,False,False,False
ORD-500056,2024-01-01,SKU-10111,34,96.86,West,Completed,FC-06,2024-01-04,2024-01-05,Normal,3293.24,1.0,False,False,False,True,True
ORD-500057,2024-01-01,SKU-10025,48,120.76,Northeast,Cancelled,FC-05,2024-01-02,,Normal,5796.48,,False,True,False,False,False
ORD-500058,2024-01-01,SKU-10271,6,105.89,West,Completed,FC-05,2024-01-04,2024-01-06,High,635.34,2.0,True,False,False,True,True
ORD-500059,2024-01-01,SKU-10095,36,7.41,West,Completed,FC-06,2024-01-04,2024-01-05,Normal,266.76,1.0,False,False,False,True,True
ORD-500060,2024-01-01,SKU-10206,19,55.56,Midwest,Completed,FC-05,2024-01-05,2024-01-04,Normal,1055.64,-1.0,False,False,False,True,False
ORD-500061,2024-01-01,SKU-10317,33,62.65,Northeast,Completed,FC-06,2024-01-03,2024-01-05,Normal,2067.45,2.0,False,False,False,True,True
ORD-500062,2024-01-01,SKU-10267,1,102.98,South,Completed,FC-02,2024-01-02,2024-01-01,Normal,102.98,-1.0,False,False,False,True,False
ORD-500063,2024-01-01,SKU-10160,23,83.51,South,Completed,FC-04,2024-01-03,2024-01-04,Normal,1920.73,1.0,False,False,False,True,True
ORD-500064,2024-01-01,SKU-10330,7,100.7,Northeast,Completed,FC-03,2024-01-03,2024-01-05,Normal,704.9,2.0,False,False,False,True,True
ORD-500065,2024-01-01,SKU-10479,49,40.07,West,Completed,FC-04,2024-01-05,2024-01-04,Normal,1963.43,-1.0,False,False,False,True,False
ORD-500066,2024-01-01,SKU-10288,37,132.98,West,Completed,FC-05,2024-01-02,2024-01-01,Normal,4920.26,-1.0,False,False,False,True,False
ORD-500067,2024-01-01,SKU-10135,35,106.55,South,Completed,FC-01,2024-01-04,2024-01-06,Normal,3729.25,2.0,False,False,False,True,True
ORD-500068,2024-01-01,SKU-10189,24,63.65,Midwest,Completed,FC-04,2024-01-02,2024-01-04,Normal,1527.6,2.0,False,False,False,True,True
ORD-500069,2024-01-01,SKU-10360,11,140.67,West,Completed,FC-06,2024-01-05,2024-01-05,Normal,1547.37,0.0,False,False,False,True,False
ORD-500070,2024-01-01,SKU-10153,40,92.93,Midwest,Completed,FC-03,2024-01-04,2024-01-06,Normal,3717.2,2.0,False,False,False,True,True
ORD-500071,2024-01-01,SKU-10054,25,101.21,Midwest,Cancelled,FC-03,2024-01-06,,Normal,2530.25,,False,True,False,False,False
ORD-500072,2024-01-01,SKU-10107,18,28.32,Midwest,Completed,FC-06,2024-01-03,2024-01-03,Normal,509.76,0.0,False,False,False,True,False
ORD-500073,2024-01-01,SKU-10135,35,99.53,Northeast,Cancelled,FC-03,2024-01-02,,Normal,3483.55,,False,True,False,False,False
ORD-500074,2024-01-01,SKU-10433,36,108.27,West,Completed,FC-06,2024-01-02,2024-01-02,Normal,3897.72,0.0,False,False,False,True,False
ORD-500075,2024-01-01,SKU-10141,21,30.93,West,Completed,FC-03,2024-01-04,2024-01-03,Normal,649.53,-1.0,False,False,False,True,False
ORD-500076,2024-01-01,SKU-10326,33,83.67,Midwest,Completed,FC-06,2024-01-04,2024-01-05,Normal,2761.11,1.0,False,False,False,True,True
ORD-500077,2024-01-01,SKU-10361,22,43.45,West,Returned,FC-01,2024-01-06,,High,955.9,,True,False,True,False,False
ORD-500078,2024-01-01,SKU-10452,8,96.52,West,Completed,FC-03,2024-01-03,2024-01-02,Normal,772.16,-1.0,False,False,False,True,False
ORD-500079,2024-01-01,SKU-10075,30,98.54,Midwest,Returned,FC-01,2024-01-02,,Normal,2956.2,,False,False,True,False,False
ORD-500080,2024-01-01,SKU-10460,5,38.38,South,Completed,FC-02,2024-01-04,2024-01-06,Normal,191.9,2.0,False,False,False,True,True
ORD-500081,2024-01-01,SKU-10341,35,116.44,South,Completed,FC-05,2024-01-02,2024-01-04,Normal,4075.4,2.0,False,False,False,True,True
ORD-500082,2024-01-01,SKU-10208,28,73.14,Midwest,Cancelled,FC-02,2024-01-06,,Normal,2047.92,,False,True,False,False,False
ORD-500083,2024-01-01,SKU-10499,6,58.67,Northeast,Completed,FC-01,2024-01-02,2024-01-01,Normal,352.02,-1.0,False,False,False,True,False
ORD-500084,2024-01-01,SKU-10473,24,52.96,Northeast,Completed,FC-06,2024-01-06,2024-01-07,Normal,1271.04,1.0,False,False,False,True,True
ORD-500085,2024-01-01,SKU-10415,35,147.15,South,Completed,FC-02,2024-01-05,2024-01-06,Normal,5150.25,1.0,False,False,False,True,True
ORD-500086,2024-01-01,SKU-10055,21,32.68,West,Returned,FC-04,2024-01-02,,Normal,686.28,,False,False,True,False,False
ORD-500087,2024-01-01,SKU-10418,3,29.58,South,Returned,FC-03,2024-01-02,,Normal,88.74,,False,False,True,False,False
ORD-500088,2024-01-01,SKU-10446,42,140.74,Midwest,Completed,FC-01,2024-01-03,2024-01-04,Normal,5911.08,1.0,False,False,False,True,True
ORD-500089,2024-01-01,SKU-10204,40,15.21,South,Completed,FC-01,2024-01-03,2024-01-05,Normal,608.4,2.0,False,False,False,True,True
ORD-500090,2024-01-01,SKU-10142,47,148.56,Northeast,Completed,FC-06,2024-01-03,2024-01-04,Normal,6982.32,1.0,False,False,False,True,True
ORD-500091,2024-01-01,SKU-10274,27,47.82,West,Completed,FC-01,2024-01-03,2024-01-02,Normal,1291.14,-1.0,False,False,False,True,False
ORD-500092,2024-01-01,SKU-10133,40,106.07,South,Completed,FC-01,2024-01-04,2024-01-04,Normal,4242.8,0.0,False,False,False,True,False
ORD-500093,2024-01-01,SKU-10222,48,85.16,South,Completed,FC-04,2024-01-03,2024-01-04,Normal,4087.68,1.0,False,False,False,True,True
ORD-500094,2024-01-01,SKU-10261,26,122.47,Northeast,Completed,FC-05,2024-01-02,2024-01-04,Normal,3184.22,2.0,False,False,False,True,True
ORD-500095,2024-01-01,SKU-10022,13,16.83,West,Returned,FC-05,2024-01-02,,Normal,218.79,,False,False,True,False,False
ORD-500096,2024-01-01,SKU-10275,36,120.75,South,Completed,FC-04,2024-01-02,2024-01-04,High,4347.0,2.0,True,False,False,True,True
ORD-500097,2024-01-01,SKU-10340,46,120.39,South,Completed,FC-06,2024-01-05,2024-01-06,Normal,5537.94,1.0,False,False,False,True,True
ORD-500098,2024-01-01,SKU-10368,23,9.0,South,Completed,FC-06,2024-01-03,2024-01-03,Normal,207.0,0.0,False,False,False,True,False
ORD-500099,2024-01-01,SKU-10206,32,88.85,Midwest,Completed,FC-02,2024-01-04,2024-01-03,Normal,2843.2,-1.0,False,False,False,True,False
ORD-500100,2024-01-01,SKU-10481,22,90.67,Midwest,Returned,FC-05,2024-01-02,,Normal,1994.74,,False,False,True,False,False
ORD-500101,2024-01-01,SKU-10207,42,124.28,West,Cancelled,FC-03,2024-01-04,,Normal,5219.76,,False,True,False,False,False
ORD-500102,2024-01-01,SKU-10220,37,80.73,South,Cancelled,FC-04,2024-01-06,,Normal,2987.01,,False,True,False,False,False
ORD-500103,2024-01-01,SKU-10345,44,144.96,Northeast,Completed,FC-06,2024-01-05,2024-01-05,Normal,6378.24,0.0,False,False,False,True,False
ORD-500104,2024-01-01,SKU-10043,45,33.19,South,Completed,FC-01,2024-01-04,2024-01-05,Normal,1493.55,1.0,False,False,False,True,True
ORD-500105,2024-01-01,SKU-10384,40,110.28,South,Completed,FC-02,2024-01-06,2024-01-06,Normal,4411.2,0.0,False,False,False,True,False
ORD-500106,2024-01-01,SKU-10075,42,51.83,West,Completed,FC-02,2024-01-02,2024-01-04,Normal,2176.86,2.0,False,False,False,True,True
ORD-500107,2024-01-01,SKU-10312,19,68.65,Northeast,Completed,FC-04,2024-01-03,2024-01-02,Normal,1304.35,-1.0,False,False,False,True,False
ORD-500108,2024-01-01,SKU-10294,26,144.58,Northeast,Completed,FC-04,2024-01-02,2024-01-04,Normal,3759.08,2.0,False,False,False,True,True
ORD-500109,2024-01-01,SKU-10075,1,30.13,West,Completed,FC-04,2024-01-02,2024-01-03,Normal,30.13,1.0,False,False,False,True,True
ORD-500110,2024-01-01,SKU-10411,34,39.77,Northeast,Cancelled,FC-01,2024-01-02,,Normal,1352.18,,False,True,False,False,False
ORD-500111,2024-01-01,SKU-10469,40,140.52,Northeast,Completed,FC-02,2024-01-02,2024-01-04,Normal,5620.8,2.0,False,False,False,True,True
ORD-500112,2024-01-01,SKU-10341,39,100.28,South,Cancelled,FC-04,2024-01-06,,Normal,3910.92,,False,True,False,False,False
ORD-500113,2024-01-01,SKU-10368,22,110.86,Northeast,Cancelled,FC-05,2024-01-04,,Normal,2438.92,,False,True,False,False,False
ORD-500114,2024-01-01,SKU-10081,12,87.08,Northeast,Returned,FC-03,2024-01-04,,Normal,1044.96,,False,False,True,False,False
ORD-500115,2024-01-01,SKU-10430,37,22.42,Northeast,Completed,FC-06,2024-01-06,2024-01-06,Normal,829.54,0.0,False,False,False,True,False
ORD-500116,2024-01-01,SKU-10225,28,11.67,South,Completed,FC-02,2024-01-02,2024-01-02,Normal,326.76,0.0,False,False,False,True,False
ORD-500117,2024-01-01,SKU-10163,46,147.03,West,Cancelled,FC-02,2024-01-06,,Normal,6763.38,,False,True,False,False,False
ORD-500118,2024-01-01,SKU-10196,12,7.49,Midwest,Completed,FC-01,2024-01-03,2024-01-05,Normal,89.88,2.0,False,False,False,True,True
ORD-500119,2024-01-01,SKU-10169,21,73.65,Northeast,Cancelled,FC-04,2024-01-02,,High,1546.65,,True,True,False,False,False
ORD-500120,2024-01-01,SKU-10426,30,99.22,Northeast,Returned,FC-05,2024-01-03,,Normal,2976.6,,False,False,True,False,False
ORD-500121,2024-01-01,SKU-10010,10,142.63,Northeast,Cancelled,FC-04,2024-01-05,,High,1426.3,,True,True,False,False,False
ORD-500122,2024-01-01,SKU-10180,34,42.83,Northeast,Completed,FC-04,2024-01-03,2024-01-03,Normal,1456.22,0.0,False,False,False,True,False
ORD-500123,2024-01-01,SKU-10376,19,77.95,Midwest,Cancelled,FC-04,2024-01-02,,Normal,1481.05,,False,True,False,False,False
ORD-500124,2024-01-01,SKU-10223,5,104.17,West,Returned,FC-04,2024-01-03,,Normal,520.85,,False,False,True,False,False
ORD-500125,2024-01-01,SKU-10347,49,130.74,Midwest,Returned,FC-04,2024-01-04,,Normal,6406.26,,False,False,True,False,False
ORD-500126,2024-01-01,SKU-10318,20,88.44,West,Cancelled,FC-04,2024-01-03,,Normal,1768.8,,False,True,False,False,False
ORD-500127,2024-01-01,SKU-10339,35,98.28,West,Completed,FC-06,2024-01-02,2024-01-01,Normal,3439.8,-1.0,False,False,False,True,False
ORD-500128,2024-01-01,SKU-10443,43,141.51,Midwest,Returned,FC-01,2024-01-04,,Normal,6084.93,,False,False,True,False,False
ORD-500129,2024-01-01,SKU-10167,1,144.37,Northeast,Completed,FC-03,2024-01-03,2024-01-04,Normal,144.37,1.0,False,False,False,True,True
ORD-500130,2024-01-01,SKU-10450,44,44.72,South,Returned,FC-04,2024-01-05,,Normal,1967.68,,False,False,True,False,False
ORD-500131,2024-01-01,SKU-10041,31,59.7,West,Returned,FC-06,2024-01-06,,Normal,1850.7,,False,False,True,False,False
ORD-500132,2024-01-01,SKU-10487,35,53.8,Midwest,Completed,FC-06,2024-01-03,2024-01-05,High,1883.0,2.0,True,False,False,True,True
ORD-500133,2024-01-01,SKU-10490,29,127.51,West,Completed,FC-02,2024-01-03,2024-01-03,Normal,3697.79,0.0,False,False,False,True,False
ORD-500134,2024-01-01,SKU-10010,34,42.8,Midwest,Cancelled,FC-02,2024-01-05,,Normal,1455.2,,False,True,False,False,False
ORD-500135,2024-01-01,SKU-10342,45,140.81,Midwest,Completed,FC-04,2024-01-05,2024-01-04,Normal,6336.45,-1.0,False,False,False,True,False
ORD-500136,2024-01-01,SKU-10392,21,145.3,Midwest,Completed,FC-05,2024-01-05,2024-01-05,Normal,3051.3,0.0,False,False,False,True,False
ORD-500137,2024-01-01,SKU-10382,37,113.84,Midwest,Completed,FC-03,2024-01-04,2024-01-03,Normal,4212.08,-1.0,False,False,False,True,False
ORD-500138,2024-01-01,SKU-10013,35,64.83,Northeast,Completed,FC-04,2024-01-03,2024-01-02,Normal,2269.05,-1.0,False,False,False,True,False
ORD-500139,2024-01-01,SKU-10101,39,89.18,Midwest,Completed,FC-01,2024-01-06,2024-01-08,Normal,3478.02,2.0,False,False,False,True,True
ORD-500140,2024-01-01,SKU-10154,49,103.58,West,Cancelled,FC-05,2024-01-02,,Normal,5075.42,,False,True,False,False,False
ORD-500141,2024-01-01,SKU-10177,35,19.95,Northeast,Cancelled,FC-06,2024-01-02,,Normal,698.25,,False,True,False,False,False
ORD-500142,2024-01-01,SKU-10259,49,78.26,West,Completed,FC-04,2024-01-02,2024-01-02,Normal,3834.74,0.0,False,False,False,True,False
ORD-500143,2024-01-01,SKU-10054,13,134.85,South,Returned,FC-06,2024-01-02,,Normal,1753.05,,False,False,True,False,False
ORD-500144,2024-01-01,SKU-10235,36,6.57,Northeast,Completed,FC-02,2024-01-02,2024-01-03,Normal,236.52,1.0,False,False,False,True,True
ORD-500145,2024-01-01,SKU-10494,12,56.46,Northeast,Completed,FC-04,2024-01-05,2024-01-05,Normal,677.52,0.0,False,False,False,True,False
ORD-500146,2024-01-01,SKU-10374,31,142.84,South,Cancelled,FC-03,2024-01-04,,Normal,4428.04,,False,True,False,False,False
ORD-500147,2024-01-01,SKU-10425,47,17.08,South,Completed,FC-04,2024-01-06,2024-01-07,Normal,802.76,1.0,False,False,False,True,True
ORD-500148,2024-01-01,SKU-10237,12,52.66,Northeast,Cancelled,FC-03,2024-01-04,,High,631.92,,True,True,False,False,False
ORD-500149,2024-01-01,SKU-10435,21,114.09,Midwest,Completed,FC-04,2024-01-02,2024-01-03,Normal,2395.89,1.0,False,False,False,True,True
ORD-500150,2024-01-01,SKU-10408,45,139.98,South,Completed,FC-03,2024-01-03,2024-01-04,Normal,6299.1,1.0,False,False,False,True,True
ORD-500151,2024-01-01,SKU-10359,14,84.68,West,Completed,FC-05,2024-01-06,2024-01-07,Normal,1185.52,1.0,False,False,False,True,True
ORD-500152,2024-01-01,SKU-10043,23,84.16,Northeast,Completed,FC-04,2024-01-04,2024-01-04,Normal,1935.68,0.0,False,False,False,True,False
ORD-500153,2024-01-01,SKU-10123,47,25.73,Northeast,Returned,FC-04,2024-01-03,,Normal,1209.31,,False,False,True,False,False
ORD-500154,2024-01-01,SKU-10047,44,130.7,Midwest,Completed,FC-04,2024-01-06,2024-01-08,Normal,5750.8,2.0,False,False,False,True,True
ORD-500155,2024-01-01,SKU-10156,42,62.51,South,Cancelled,FC-04,2024-01-04,,Normal,2625.42,,False,True,False,False,False
ORD-500156,2024-01-01,SKU-10176,2,16.8,South,Returned,FC-03,2024-01-06,,Normal,33.6,,False,False,True,False,False
ORD-500157,2024-01-01,SKU-10138,38,148.06,South,Completed,FC-02,2024-01-06,2024-01-05,Normal,5626.28,-1.0,False,False,False,True,False
ORD-500158,2024-01-01,SKU-10098,22,122.86,West,Completed,FC-06,2024-01-02,2024-01-01,Normal,2702.92,-1.0,False,False,False,True,False
ORD-500159,2024-01-01,SKU-10390,4,55.78,Midwest,Completed,FC-02,2024-01-05,2024-01-06,Normal,223.12,1.0,False,False,False,True,True
ORD-500160,2024-01-01,SKU-10141,19,117.69,South,Cancelled,FC-01,2024-01-04,,Normal,2236.11,,False,True,False,False,False
ORD-500161,2024-01-01,SKU-10151,10,136.42,South,Completed,FC-02,2024-01-04,2024-01-03,Normal,1364.2,-1.0,False,False,False,True,False
ORD-500162,2024-01-01,SKU-10362,13,63.75,Midwest,Cancelled,FC-03,2024-01-03,,High,828.75,,True,True,False,False,False
ORD-500163,2024-01-01,SKU-10027,20,22.23,South,Cancelled,FC-06,2024-01-06,,Normal,444.6,,False,True,False,False,False
ORD-500164,2024-01-01,SKU-10326,41,112.91,West,Returned,FC-01,2024-01-04,,Normal,4629.31,,False,False,True,False,False
ORD-500165,2024-01-01,SKU-10240,13,39.44,Northeast,Returned,FC-03,2024-01-02,,Normal,512.72,,False,False,True,False,False
ORD-500166,2024-01-01,SKU-10026,49,17.02,Northeast,Completed,FC-01,2024-01-02,2024-01-02,Normal,833.98,0.0,False,False,False,True,False
ORD-500167,2024-01-01,SKU-10205,6,121.31,West,Returned,FC-05,2024-01-06,,Normal,727.86,,False,False,True,False,False
ORD-500168,2024-01-01,SKU-10027,32,85.62,Midwest,Completed,FC-05,2024-01-06,2024-01-08,Normal,2739.84,2.0,False,False,False,True,True
ORD-500169,2024-01-01,SKU-10043,21,148.98,West,Completed,FC-05,2024-01-06,2024-01-08,Normal,3128.58,2.0,False,False,False,True,True
ORD-500170,2024-01-01,SKU-10310,35,105.83,Midwest,Cancelled,FC-05,2024-01-02,,Normal,3704.05,,False,True,False,False,False
ORD-500171,2024-01-01,SKU-10465,18,29.1,South,Returned,FC-05,2024-01-02,,Normal,523.8,,False,False,True,False,False
ORD-500172,2024-01-01,SKU-10156,14,47.7,West,Cancelled,FC-05,2024-01-02,,Normal,667.8,,False,True,False,False,False
ORD-500173,2024-01-01,SKU-10050,3,135.67,Midwest,Completed,FC-03,2024-01-02,2024-01-03,Normal,407.01,1.0,False,False,False,True,True
ORD-500174,2024-01-01,SKU-10080,12,144.01,Midwest,Completed,FC-05,2024-01-05,2024-01-07,High,1728.12,2.0,True,False,False,True,True
ORD-500175,2024-01-01,SKU-10001,28,53.67,Northeast,Returned,FC-06,2024-01-03,,Normal,1502.76,,False,False,True,False,False
ORD-500176,2024-01-01,SKU-10149,28,98.79,Midwest,Completed,FC-03,2024-01-03,2024-01-05,Normal,2766.12,2.0,False,False,False,True,True
ORD-500177,2024-01-01,SKU-10359,28,16.27,West,Returned,FC-06,2024-01-02,,Normal,455.56,,False,False,True,False,False
ORD-500178,2024-01-01,SKU-10135,36,148.0,Midwest,Cancelled,FC-04,2024-01-02,,Normal,5328.0,,False,True,False,False,False
ORD-500179,2024-01-01,SKU-10115,9,49.88,South,Completed,FC-02,2024-01-05,2024-01-04,High,448.92,-1.0,True,False,False,True,False
ORD-500180,2024-01-01,SKU-10084,28,44.29,South,Completed,FC-04,2024-01-06,2024-01-06,Normal,1240.12,0.0,False,False,False,True,False
ORD-500181,2024-01-01,SKU-10352,35,124.27,Northeast,Completed,FC-03,2024-01-03,2024-01-04,Normal,4349.45,1.0,False,False,False,True,True
ORD-500182,2024-01-01,SKU-10252,5,93.95,West,Returned,FC-05,2024-01-03,,High,469.75,,True,False,True,False,False
ORD-500183,2024-01-01,SKU-10221,10,140.25,South,Completed,FC-01,2024-01-03,2024-01-04,High,1402.5,1.0,True,False,False,True,True
ORD-500184,2024-01-01,SKU-10492,45,28.9,West,Cancelled,FC-06,2024-01-02,,Normal,1300.5,,False,True,False,False,False
ORD-500185,2024-01-01,SKU-10295,1,74.65,Midwest,Completed,FC-04,2024-01-02,2024-01-03,Normal,74.65,1.0,False,False,False,True,True
ORD-500186,2024-01-01,SKU-10226,21,113.69,Midwest,Completed,FC-05,2024-01-02,2024-01-02,Normal,2387.49,0.0,False,False,False,True,False
ORD-500187,2024-01-01,SKU-10416,27,87.52,West,Returned,FC-04,2024-01-02,,Normal,2363.04,,False,False,True,False,False
