shipment_id,order_id,sku,supplier_id,shipment_date,expected_delivery_date,actual_delivery_date,shipment_status,carrier,quantity_shipped,shipping_cost,delay_reason,delivery_delay_days,is_delivered,is_delayed,is_lost,is_in_transit,delivered_on_time_flag
SHP-900067,ORD-517986,SKU-10231,SUP-236,2024-01-21,2024-01-28,2024-01-29,Delivered,FreightCo,18,9.62,,1.0,True,True,False,False,False
SHP-900068,ORD-507885,SKU-10434,SUP-226,2024-01-10,2024-01-16,2024-01-17,Delivered,UPS,2,5.6,,1.0,True,True,False,False,False
SHP-900069,ORD-513332,SKU-10247,SUP-242,2024-01-16,2024-01-21,2024-01-23,Delivered,FreightCo,39,15.76,,2.0,True,True,False,False,False
SHP-900070,ORD-509585,SKU-10190,SUP-226,2024-01-13,2024-01-16,2024-01-15,Delivered,UPS,40,12.57,,-1.0,True,False,False,False,True
SHP-900071,ORD-506332,SKU-10388,SUP-243,2024-01-09,2024-01-13,2024-01-15,Delivered,UPS,14,6.37,,2.0,True,True,False,False,False
SHP-900072,ORD-524429,SKU-10362,SUP-203,2024-01-28,2024-01-31,2024-01-30,Delivered,DHL,28,8.45,,-1.0,True,False,False,False,True
SHP-900073,ORD-518079,SKU-10351,SUP-206,2024-01-21,2024-01-29,2024-01-29,Delivered,FedEx,37,10.19,,0.0,True,False,False,False,True
SHP-900074,ORD-505201,SKU-10419,SUP-234,2024-01-09,2024-01-19,2024-01-19,Delivered,FreightCo,9,8.54,,0.0,True,False,False,False,True
SHP-900075,ORD-500747,SKU-10308,SUP-211,2024-01-04,2024-01-10,2024-01-09,Delivered,FedEx,39,10.25,,-1.0,True,False,False,False,True
SHP-900076,ORD-509760,SKU-10158,SUP-204,2024-01-13,2024-01-21,2024-01-23,Delivered,USPS,46,16.29,,2.0,True,True,False,False,False
SHP-900077,ORD-529612,SKU-10437,SUP-206,2024-02-02,2024-02-07,2024-02-08,Delivered,USPS,24,9.05,,1.0,True,True,False,False,False
SHP-900078,ORD-519992,SKU-10122,SUP-200,2024-01-22,2024-01-27,,In-Transit,FedEx,1,5.3,,,False,False,False,True,False
SHP-900079,ORD-523189,SKU-10260,SUP-210,2024-01-26,2024-02-01,2024-02-03,Delivered,FreightCo,5,5.96,,2.0,True,True,False,False,False
SHP-900080,ORD-525535,SKU-10290,SUP-213,2024-01-26,2024-02-05,2024-02-10,Delayed,FedEx,18,6.43,Weather Delay,5.0,False,True,False,False,False
SHP-900081,ORD-517963,SKU-10438,SUP-224,2024-01-21,2024-01-27,2024-01-27,Delivered,FreightCo,13,8.69,,0.0,True,False,False,False,True
SHP-900082,ORD-525246,SKU-10313,SUP-216,2024-01-27,2024-02-01,,In-Transit,FreightCo,4,5.72,,,False,False,False,True,False
SHP-900083,ORD-505081,SKU-10483,SUP-218,2024-01-06,2024-01-11,2024-01-10,Delivered,USPS,15,5.78,,-1.0,True,False,False,False,True
SHP-900084,ORD-509350,SKU-10197,SUP-242,2024-01-13,2024-01-21,2024-01-21,Delivered,FedEx,21,9.62,,0.0,True,False,False,False,True
SHP-900085,ORD-510982,SKU-10072,SUP-212,2024-01-13,2024-01-23,2024-01-22,Delivered,UPS,26,8.34,,-1.0,True,False,False,False,True
SHP-900086,ORD-523621,SKU-10085,SUP-237,2024-01-24,2024-01-30,2024-01-29,Delivered,UPS,30,11.69,,-1.0,True,False,False,False,True
SHP-900087,ORD-513235,SKU-10084,SUP-247,2024-01-17,2024-01-23,2024-01-25,Delivered,UPS,19,10.27,,2.0,True,True,False,False,False
SHP-900088,ORD-519367,SKU-10103,SUP-237,2024-01-22,2024-01-27,2024-01-26,Delivered,USPS,6,5.95,,-1.0,True,False,False,False,True
SHP-900089,ORD-501190,SKU-10080,SUP-210,2024-01-05,2024-01-11,2024-01-12,Delivered,USPS,40,12.15,,1.0,True,True,False,False,False
SHP-900090,ORD-500821,SKU-10335,SUP-205,2024-01-03,2024-01-11,2024-01-18,Delayed,USPS,4,6.03,Weather Delay,7.0,False,True,False,False,False
SHP-900091,ORD-515878,SKU-10285,SUP-204,2024-01-17,2024-01-24,2024-01-25,Delivered,FedEx,37,18.4,,1.0,True,True,False,False,False
SHP-900092,ORD-520497,SKU-10113,SUP-225,2024-01-23,2024-01-28,2024-01-28,Delivered,USPS,35,11.04,,0.0,True,False,False,False,True
SHP-900093,ORD-509419,SKU-10452,SUP-215,2024-01-10,2024-01-16,2024-01-17,Delivered,UPS,11,7.45,,1.0,True,True,False,False,False
SHP-900094,ORD-528100,SKU-10178,SUP-239,2024-01-29,2024-02-04,2024-02-03,Delivered,USPS,6,6.35,,-1.0,True,False,False,False,True
SHP-900095,ORD-508892,SKU-10185,SUP-236,2024-01-12,2024-01-17,2024-01-19,Delivered,DHL,10,7.76,,2.0,True,True,False,False,False
SHP-900096,ORD-504461,SKU-10322,SUP-213,2024-01-05,2024-01-11,2024-01-13,Delivered,DHL,8,6.72,,2.0,True,True,False,False,False
SHP-900097,ORD-525229,SKU-10454,SUP-215,2024-01-27,2024-02-03,2024-02-03,Delivered,FedEx,42,12.54,,0.0,True,False,False,False,True
SHP-900098,ORD-529985,SKU-10025,SUP-242,2024-01-30,2024-02-06,2024-02-08,Delivered,FreightCo,33,10.47,,2.0,True,True,False,False,False
SHP-900099,ORD-512606,SKU-10161,SUP-220,2024-01-14,2024-01-21,,In-Transit,UPS,32,13.01,,,False,False,False,True,False
SHP-900100,ORD-525978,SKU-10134,SUP-200,2024-01-29,2024-02-01,2024-02-03,Delivered,USPS,45,11.89,,2.0,True,True,False,False,False
SHP-900101,ORD-519132,SKU-10145,SUP-206,2024-01-20,2024-01-30,2024-01-31,Delivered,FedEx,33,9.75,,1.0,True,True,False,False,False
SHP-900102,ORD-514740,SKU-10421,SUP-232,2024-01-17,2024-01-27,2024-01-27,Delivered,DHL,40,14.8,,0.0,True,False,False,False,True
SHP-900103,ORD-512146,SKU-10445,SUP-204,2024-01-15,2024-01-23,2024-01-26,Delayed,DHL,24,14.01,Carrier Backlog,3.0,False,True,False,False,False
SHP-900104,ORD-502744,SKU-10472,SUP-210,2024-01-04,2024-01-14,2024-01-14,Delivered,USPS,33,13.75,,0.0,True,False,False,False,True
SHP-900105,ORD-510114,SKU-10439,SUP-245,2024-01-12,2024-01-21,2024-01-21,Delivered,USPS,9,6.25,,0.0,True,False,False,False,True
SHP-900106,ORD-502383,SKU-10132,SUP-200,2024-01-04,2024-01-08,2024-01-08,Delivered,USPS,19,10.88,,0.0,True,False,False,False,True
SHP-900107,ORD-509153,SKU-10029,SUP-219,2024-01-10,2024-01-13,,In-Transit,UPS,8,7.37,,,False,False,False,True,False
SHP-900108,ORD-501406,SKU-10405,SUP-208,2024-01-05,2024-01-14,2024-01-13,Delivered,UPS,5,5.77,,-1.0,True,False,False,False,True
SHP-900109,ORD-516560,SKU-10280,SUP-247,2024-01-18,2024-01-23,2024-01-23,Delivered,DHL,15,10.3,,0.0,True,False,False,False,True
SHP-900110,ORD-519361,SKU-10039,SUP-218,2024-01-20,2024-01-26,2024-01-26,Delivered,DHL,4,5.21,,0.0,True,False,False,False,True
SHP-900111,ORD-510342,SKU-10215,SUP-213,2024-01-14,2024-01-21,2024-01-23,Delivered,DHL,22,11.1,,2.0,True,True,False,False,False
SHP-900112,ORD-527756,SKU-10380,SUP-232,2024-01-31,2024-02-08,2024-02-10,Delivered,UPS,18,6.22,,2.0,True,True,False,False,False
SHP-900113,ORD-517614,SKU-10204,SUP-205,2024-01-20,2024-01-29,2024-01-30,Delivered,DHL,49,13.89,,1.0,True,True,False,False,False
SHP-900114,ORD-519906,SKU-10364,SUP-202,2024-01-21,2024-01-31,2024-02-01,Delivered,FedEx,42,16.98,,1.0,True,True,False,False,False
SHP-900115,ORD-524530,SKU-10467,SUP-240,2024-01-27,2024-01-30,,In-Transit,FedEx,15,6.56,,,False,False,False,True,False
SHP-900116,ORD-527308,SKU-10296,SUP-247,2024-01-29,2024-02-05,2024-02-05,Delivered,FreightCo,46,16.81,,0.0,True,False,False,False,True
SHP-900117,ORD-517788,SKU-10342,SUP-235,2024-01-19,2024-01-22,2024-01-24,Delivered,UPS,27,6.72,,2.0,True,True,False,False,False
SHP-900118,ORD-513075,SKU-10485,SUP-244,2024-01-16,2024-01-24,,In-Transit,USPS,38,14.04,,,False,False,False,True,False
SHP-900119,ORD-522089,SKU-10171,SUP-202,2024-01-23,2024-01-26,2024-02-01,Delayed,USPS,47,11.82,Inventory Shortage,6.0,False,True,False,False,False
SHP-900120,ORD-528573,SKU-10258,SUP-209,2024-02-01,2024-02-08,2024-02-09,Delivered,UPS,27,7.16,,1.0,True,True,False,False,False
SHP-900121,ORD-520568,SKU-10345,SUP-219,2024-01-21,2024-01-31,2024-02-02,Delivered,UPS,24,9.66,,2.0,True,True,False,False,False
SHP-900122,ORD-517890,SKU-10420,SUP-222,2024-01-20,2024-01-29,2024-01-31,Delivered,FedEx,40,17.17,,2.0,True,True,False,False,False
SHP-900123,ORD-516837,SKU-10484,SUP-242,2024-01-17,2024-01-21,2024-01-23,Delivered,USPS,48,19.41,,2.0,True,True,False,False,False
SHP-900124,ORD-506552,SKU-10098,SUP-226,2024-01-09,2024-01-12,,In-Transit,FedEx,44,13.34,,,False,False,False,True,False
SHP-900125,ORD-519637,SKU-10359,SUP-215,2024-01-22,2024-01-28,2024-01-31,Delayed,FreightCo,14,6.08,Customs Hold,3.0,False,True,False,False,False
SHP-900126,ORD-518294,SKU-10157,SUP-201,2024-01-19,2024-01-23,2024-01-22,Delivered,DHL,36,7.82,,-1.0,True,False,False,False,True
SHP-900127,ORD-502876,SKU-10244,SUP-226,2024-01-05,2024-01-08,2024-01-13,Delayed,DHL,44,13.5,Customs Hold,5.0,False,True,False,False,False
SHP-900128,ORD-502982,SKU-10064,SUP-210,2024-01-04,2024-01-08,2024-01-10,Delayed,FreightCo,5,6.02,Weather Delay,2.0,False,True,False,False,False
SHP-900129,ORD-517410,SKU-10226,SUP-202,2024-01-21,2024-01-29,2024-02-05,Delayed,FedEx,39,16.7,Customs Hold,7.0,False,True,False,False,False
SHP-900130,ORD-515162,SKU-10392,SUP-229,2024-01-19,2024-01-26,2024-01-25,Delivered,FedEx,15,9.1,,-1.0,True,False,False,False,True
SHP-900131,ORD-502153,SKU-10031,SUP-214,2024-01-03,2024-01-12,2024-01-14,Delivered,FedEx,26,11.34,,2.0,True,True,False,False,False
SHP-900132,ORD-518700,SKU-10309,SUP-225,2024-01-20,2024-01-27,2024-01-28,Delivered,UPS,35,7.33,,1.0,True,True,False,False,False
SHP-900133,ORD-507667,SKU-10093,SUP-249,2024-01-09,2024-01-19,2024-01-20,Delivered,USPS,27,13.51,,1.0,True,True,False,False,False
SHP-900134,ORD-515243,SKU-10459,SUP-225,2024-01-16,2024-01-23,2024-01-23,Delivered,USPS,28,7.3,,0.0,True,False,False,False,True
SHP-900135,ORD-516857,SKU-10335,SUP-221,2024-01-19,2024-01-22,,In-Transit,UPS,17,7.7,,,False,False,False,True,False
SHP-900136,ORD-513961,SKU-10305,SUP-216,2024-01-15,2024-01-21,2024-01-20,Delivered,DHL,17,8.67,,-1.0,True,False,False,False,True
SHP-900137,ORD-500217,SKU-10323,SUP-202,2024-01-02,2024-01-06,2024-01-08,Delivered,FreightCo,28,14.31,,2.0,True,True,False,False,False
SHP-900138,ORD-523287,SKU-10099,SUP-222,2024-01-27,2024-01-30,2024-01-30,Delivered,DHL,15,8.03,,0.0,True,False,False,False,True
SHP-900139,ORD-502213,SKU-10307,SUP-227,2024-01-05,2024-01-09,2024-01-09,Delivered,USPS,8,8.06,,0.0,True,False,False,False,True
SHP-900140,ORD-506580,SKU-10434,SUP-207,2024-01-10,2024-01-14,2024-01-16,Delivered,USPS,38,11.88,,2.0,True,True,False,False,False
SHP-900141,ORD-527602,SKU-10464,SUP-212,2024-01-29,2024-02-03,2024-02-03,Delivered,FreightCo,15,8.38,,0.0,True,False,False,False,True
SHP-900142,ORD-519376,SKU-10190,SUP-200,2024-01-23,2024-01-30,2024-01-29,Delivered,USPS,43,9.6,,-1.0,True,False,False,False,True
SHP-900143,ORD-507539,SKU-10476,SUP-243,2024-01-11,2024-01-21,2024-01-22,Delivered,FedEx,12,9.57,,1.0,True,True,False,False,False
SHP-900144,ORD-514976,SKU-10270,SUP-223,2024-01-18,2024-01-28,2024-01-30,Delivered,DHL,2,5.76,,2.0,True,True,False,False,False
SHP-900145,ORD-510128,SKU-10187,SUP-239,2024-01-14,2024-01-20,2024-01-20,Delivered,UPS,17,9.26,,0.0,True,False,False,False,True
SHP-900146,ORD-505705,SKU-10314,SUP-246,2024-01-06,2024-01-09,,In-Transit,USPS,16,10.34,,,False,False,False,True,False
SHP-900147,ORD-505953,SKU-10029,SUP-219,2024-01-08,2024-01-15,2024-01-17,Delivered,DHL,44,13.15,,2.0,True,True,False,False,False
SHP-900148,ORD-500538,SKU-10268,SUP-225,2024-01-01,2024-01-11,2024-01-11,Delivered,USPS,7,5.86,,0.0,True,False,False,False,True
SHP-900149,ORD-521663,SKU-10316,SUP-208,2024-01-22,2024-01-29,2024-01-31,Delivered,FreightCo,18,6.53,,2.0,True,True,False,False,False
SHP-900150,ORD-521567,SKU-10309,SUP-243,2024-01-23,2024-01-30,2024-01-31,Delivered,FedEx,34,14.06,,1.0,True,True,False,False,False
SHP-900151,ORD-528982,SKU-10125,SUP-239,2024-01-31,2024-02-03,2024-02-03,Delivered,FreightCo,48,12.76,,0.0,True,False,False,False,True
SHP-900152,ORD-507427,SKU-10215,SUP-235,2024-01-09,2024-01-13,2024-01-16,Delayed,DHL,21,8.55,Carrier Backlog,3.0,False,True,False,False,False
SHP-900153,ORD-520725,SKU-10286,SUP-213,2024-01-23,2024-01-26,2024-01-27,Delivered,USPS,20,6.83,,1.0,True,True,False,False,False
SHP-900154,ORD-504181,SKU-10267,SUP-238,2024-01-05,2024-01-09,2024-01-08,Delivered,FreightCo,4,6.51,,-1.0,True,False,False,False,True
SHP-900155,ORD-518701,SKU-10090,SUP-228,2024-01-22,2024-01-28,2024-01-27,Delivered,FedEx,19,11.29,,-1.0,True,False,False,False,True
SHP-900156,ORD-515414,SKU-10162,SUP-232,2024-01-16,2024-01-22,2024-01-22,Delivered,FedEx,23,9.56,,0.0,True,False,False,False,True
SHP-900157,ORD-512154,SKU-10403,SUP-242,2024-01-16,2024-01-26,2024-01-27,Delivered,USPS,22,13.73,,1.0,True,True,False,False,False
SHP-900158,ORD-500579,SKU-10013,SUP-242,2024-01-04,2024-01-10,2024-01-10,Delivered,DHL,4,5.55,,0.0,True,False,False,False,True
SHP-900159,ORD-502168,SKU-10458,SUP-205,2024-01-06,2024-01-16,2024-01-23,Delayed,DHL,6,6.48,Customs Hold,7.0,False,True,False,False,False
SHP-900160,ORD-524419,SKU-10333,SUP-214,2024-01-28,2024-01-31,2024-02-06,Delayed,UPS,7,7.16,Customs Hold,6.0,False,True,False,False,False
SHP-900161,ORD-500250,SKU-10227,SUP-202,2024-01-03,2024-01-06,2024-01-06,Delivered,FreightCo,11,9.02,,0.0,True,False,False,False,True
SHP-900162,ORD-515692,SKU-10273,SUP-239,2024-01-17,2024-01-23,2024-01-25,Delayed,FreightCo,40,11.48,Weather Delay,2.0,False,True,False,False,False
SHP-900163,ORD-509971,SKU-10257,SUP-226,2024-01-12,2024-01-17,2024-01-19,Delayed,FedEx,33,7.27,Inventory Shortage,2.0,False,True,False,False,False
SHP-900164,ORD-516180,SKU-10423,SUP-245,2024-01-17,2024-01-20,2024-01-21,Delivered,FreightCo,42,8.44,,1.0,True,True,False,False,False
SHP-900165,ORD-511489,SKU-10285,SUP-225,2024-01-14,2024-01-20,2024-01-20,Delivered,UPS,24,11.88,,0.0,True,False,False,False,True
SHP-900166,ORD-509144,SKU-10497,SUP-248,2024-01-13,2024-01-18,2024-01-21,Delayed,FreightCo,4,6.08,Weather Delay,3.0,False,True,False,False,False
SHP-900167,ORD-529432,SKU-10133,SUP-214,2024-01-30,2024-02-06,2024-02-07,Delivered,USPS,16,9.17,,1.0,True,True,False,False,False
SHP-900168,ORD-525790,SKU-10076,SUP-229,2024-01-29,2024-02-03,2024-02-02,Delivered,FedEx,42,18.16,,-1.0,True,False,False,False,True
SHP-900169,ORD-505771,SKU-10428,SUP-207,2024-01-08,2024-01-18,2024-01-17,Delivered,FreightCo,26,7.33,,-1.0,True,False,False,False,True
SHP-900170,ORD-526746,SKU-10152,SUP-242,2024-01-27,2024-01-31,2024-01-31,Delivered,USPS,30,7.1,,0.0,True,False,False,False,True
SHP-900171,ORD-502325,SKU-10295,SUP-238,2024-01-05,2024-01-09,2024-01-08,Delivered,FreightCo,39,17.01,,-1.0,True,False,False,False,True
SHP-900172,ORD-515430,SKU-10029,SUP-239,2024-01-16,2024-01-21,2024-01-25,Delayed,FreightCo,44,9.0,Inventory Shortage,4.0,False,True,False,False,False
SHP-900173,ORD-500430,SKU-10201,SUP-235,2024-01-04,2024-01-07,2024-01-07,Delivered,FedEx,22,12.54,,0.0,True,False,False,False,True
