order_id,order_date,sku,quantity_ordered,unit_price,customer_region,order_status,fulfillment_center,expected_ship_date,actual_ship_date,priority_flag
ORD-500031,2024-01-01,SKU-10082,1,60.52,West,Cancelled,FC-05,2024-01-04,,Normal
ORD-500032,2024-01-01,SKU-10009,1,109.65,South,Completed,FC-03,2024-01-04,2024-01-03,Normal
ORD-500033,2024-01-01,SKU-10123,15,66.99,West,Cancelled,FC-01,2024-01-03,,Normal
ORD-500034,2024-01-01,SKU-10417,13,34.25,Midwest,Completed,FC-02,2024-01-02,2024-01-04,Normal
ORD-500035,2024-01-01,SKU-10484,32,105.85,Midwest,Cancelled,FC-03,2024-01-06,,Normal
ORD-500036,2024-01-01,SKU-10310,23,92.64,Midwest,Returned,FC-05,2024-01-04,,Normal
ORD-500037,2024-01-01,SKU-10353,29,38.18,South,Completed,FC-04,2024-01-04,2024-01-05,Normal
ORD-500038,2024-01-01,SKU-10332,22,132.67,Northeast,Completed,FC-05,2024-01-03,2024-01-02,Normal
ORD-500039,2024-01-01,SKU-10126,6,71.2,West,Completed,FC-03,2024-01-05,2024-01-07,High
ORD-500040,2024-01-01,SKU-10283,20,134.42,Midwest,Completed,FC-01,2024-01-04,2024-01-06,High
ORD-500041,2024-01-01,SKU-10323,28,56.66,Midwest,Completed,FC-01,2024-01-02,2024-01-01,Normal
ORD-500042,2024-01-01,SKU-10440,27,66.93,West,Completed,FC-05,2024-01-05,2024-01-04,Normal
ORD-500043,2024-01-01,SKU-10342,41,49.19,Midwest,Returned,FC-05,2024-01-04,,Normal
ORD-500044,2024-01-01,SKU-10478,9,75.3,Northeast,Cancelled,FC-02,2024-01-02,,Normal
ORD-500045,2024-01-01,SKU-10413,42,53.95,Midwest,Returned,FC-01,2024-01-04,,High
ORD-500046,2024-01-01,SKU-10220,32,80.22,Northeast,Completed,FC-04,2024-01-02,2024-01-04,Normal
ORD-500047,2024-01-01,SKU-10373,49,14.41,West,Completed,FC-01,2024-01-03,2024-01-05,Normal
ORD-500048,2024-01-01,SKU-10173,12,41.51,Midwest,Completed,FC-02,2024-01-03,2024-01-04,Normal
ORD-500049,2024-01-01,SKU-10229,49,26.47,Northeast,Completed,FC-02,2024-01-02,2024-01-03,Normal
ORD-500050,2024-01-01,SKU-10127,49,146.61,Northeast,Completed,FC-05,2024-01-05,2024-01-05,High
ORD-500051,2024-01-01,SKU-10333,23,45.4,West,Cancelled,FC-01,2024-01-02,,Normal
ORD-500052,2024-01-01,SKU-10434,1,39.74,Midwest,Completed,FC-04,2024-01-03,2024-01-02,Normal
ORD-500053,2024-01-01,SKU-10109,44,69.93,West,Returned,FC-02,2024-01-05,,Normal
ORD-500054,2024-01-01,SKU-10199,11,58.6,Northeast,Completed,FC-03,2024-01-02,2024-01-03,Normal
ORD-500055,2024-01-01,SKU-10490,38,58.33,Northeast,Cancelled,FC-02,2024-01-05,,Normal
ORD-500056,2024-01-01,SKU-10111,34,96.86,West,Completed,FC-06,2024-01-04,2024-01-05,Normal
ORD-500057,2024-01-01,SKU-10025,48,120.76,Northeast,Cancelled,FC-05,2024-01-02,,Normal
ORD-500058,2024-01-01,SKU-10271,6,105.89,West,Completed,FC-05,2024-01-04,2024-01-06,High
ORD-500059,2024-01-01,SKU-10095,36,7.41,West,Completed,FC-06,2024-01-04,2024-01-05,Normal
ORD-500060,2024-01-01,SKU-10206,19,55.56,Midwest,Completed,FC-05,2024-01-05,2024-01-04,Normal
ORD-500061,2024-01-01,SKU-10317,33,62.65,Northeast,Completed,FC-06,2024-01-03,2024-01-05,Normal
ORD-500062,2024-01-01,SKU-10267,1,102.98,South,Completed,FC-02,2024-01-02,2024-01-01,Normal
ORD-500063,2024-01-01,SKU-10160,23,83.51,South,Completed,FC-04,2024-01-03,2024-01-04,Normal
ORD-500064,2024-01-01,SKU-10330,7,100.7,Northeast,Completed,FC-03,2024-01-03,2024-01-05,Normal
ORD-500065,2024-01-01,SKU-10479,49,40.07,West,Completed,FC-04,2024-01-05,2024-01-04,Normal
ORD-500066,2024-01-01,SKU-10288,37,132.98,West,Completed,FC-05,2024-01-02,2024-01-01,Normal
ORD-500067,2024-01-01,SKU-10135,35,106.55,South,Completed,FC-01,2024-01-04,2024-01-06,Normal
ORD-500068,2024-01-01,SKU-10189,24,63.65,Midwest,Completed,FC-04,2024-01-02,2024-01-04,Normal
ORD-500069,2024-01-01,SKU-10360,11,140.67,West,Completed,FC-06,2024-01-05,2024-01-05,Normal
ORD-500070,2024-01-01,SKU-10153,40,92.93,Midwest,Completed,FC-03,2024-01-04,2024-01-06,Normal
ORD-500071,2024-01-01,SKU-10054,25,101.21,Midwest,Cancelled,FC-03,2024-01-06,,Normal
ORD-500072,2024-01-01,SKU-10107,18,28.32,Midwest,Completed,FC-06,2024-01-03,2024-01-03,Normal
ORD-500073,2024-01-01,SKU-10135,35,99.53,Northeast,Cancelled,FC-03,2024-01-02,,Normal
ORD-500074,2024-01-01,SKU-10433,36,108.27,West,Completed,FC-06,2024-01-02,2024-01-02,Normal
ORD-500075,2024-01-01,SKU-10141,21,30.93,West,Completed,FC-03,2024-01-04,2024-01-03,Normal
ORD-500076,2024-01-01,SKU-10326,33,83.67,Midwest,Completed,FC-06,2024-01-04,2024-01-05,Normal
ORD-500077,2024-01-01,SKU-10361,22,43.45,West,Returned,FC-01,2024-01-06,,High
ORD-500078,2024-01-01,SKU-10452,8,96.52,West,Completed,FC-03,2024-01-03,2024-01-02,Normal
ORD-500079,2024-01-01,SKU-10075,30,98.54,Midwest,Returned,FC-01,2024-01-02,,Normal
ORD-500080,2024-01-01,SKU-10460,5,38.38,South,Completed,FC-02,2024-01-04,2024-01-06,Normal
ORD-500081,2024-01-01,SKU-10341,35,116.44,South,Completed,FC-05,2024-01-02,2024-01-04,Normal
ORD-500082,2024-01-01,SKU-10208,28,73.14,Midwest,Cancelled,FC-02,2024-01-06,,Normal
ORD-500083,2024-01-01,SKU-10499,6,58.67,Northeast,Completed,FC-01,2024-01-02,2024-01-01,Normal
ORD-500084,2024-01-01,SKU-10473,24,52.96,Northeast,Completed,FC-06,2024-01-06,2024-01-07,Normal
ORD-500085,2024-01-01,SKU-10415,35,147.15,South,Completed,FC-02,2024-01-05,2024-01-06,Normal
ORD-500086,2024-01-01,SKU-10055,21,32.68,West,Returned,FC-04,2024-01-02,,Normal
ORD-500087,2024-01-01,SKU-10418,3,29.58,South,Returned,FC-03,2024-01-02,,Normal
ORD-500088,2024-01-01,SKU-10446,42,140.74,Midwest,Completed,FC-01,2024-01-03,2024-01-04,Normal
ORD-500089,2024-01-01,SKU-10204,40,15.21,South,Completed,FC-01,2024-01-03,2024-01-05,Normal
ORD-500090,2024-01-01,SKU-10142,47,148.56,Northeast,Completed,FC-06,2024-01-03,2024-01-04,Normal
ORD-500091,2024-01-01,SKU-10274,27,47.82,West,Completed,FC-01,2024-01-03,2024-01-02,Normal
ORD-500092,2024-01-01,SKU-10133,40,106.07,South,Completed,FC-01,2024-01-04,2024-01-04,Normal
ORD-500093,2024-01-01,SKU-10222,48,85.16,South,Completed,FC-04,2024-01-03,2024-01-04,Normal
ORD-500094,2024-01-01,SKU-10261,26,122.47,Northeast,Completed,FC-05,2024-01-02,2024-01-04,Normal
ORD-500095,2024-01-01,SKU-10022,13,16.83,West,Returned,FC-05,2024-01-02,,Normal
ORD-500096,2024-01-01,SKU-10275,36,120.75,South,Completed,FC-04,2024-01-02,2024-01-04,High
ORD-500097,2024-01-01,SKU-10340,46,120.39,South,Completed,FC-06,2024-01-05,2024-01-06,Normal
ORD-500098,2024-01-01,SKU-10368,23,9.0,South,Completed,FC-06,2024-01-03,2024-01-03,Normal
ORD-500099,2024-01-01,SKU-10206,32,88.85,Midwest,Completed,FC-02,2024-01-04,2024-01-03,Normal
ORD-500100,2024-01-01,SKU-10481,22,90.67,Midwest,Returned,FC-05,2024-01-02,,Normal
ORD-500101,2024-01-01,SKU-10207,42,124.28,West,Cancelled,FC-03,2024-01-04,,Normal
ORD-500102,2024-01-01,SKU-10220,37,80.73,South,Cancelled,FC-04,2024-01-06,,Normal
ORD-500103,2024-01-01,SKU-10345,44,144.96,Northeast,Completed,FC-06,2024-01-05,2024-01-05,Normal
ORD-500104,2024-01-01,SKU-10043,45,33.19,South,Completed,FC-01,2024-01-04,2024-01-05,Normal
ORD-500105,2024-01-01,SKU-10384,40,110.28,South,Completed,FC-02,2024-01-06,2024-01-06,Normal
ORD-500106,2024-01-01,SKU-10075,42,51.83,West,Completed,FC-02,2024-01-02,2024-01-04,Normal
ORD-500107,2024-01-01,SKU-10312,19,68.65,Northeast,Completed,FC-04,2024-01-03,2024-01-02,Normal
ORD-500108,2024-01-01,SKU-10294,26,144.58,Northeast,Completed,FC-04,2024-01-02,2024-01-04,Normal
ORD-500109,2024-01-01,SKU-10075,1,30.13,West,Completed,FC-04,2024-01-02,2024-01-03,Normal
ORD-500110,2024-01-01,SKU-10411,34,39.77,Northeast,Cancelled,FC-01,2024-01-02,,Normal
ORD-500111,2024-01-01,SKU-10469,40,140.52,Northeast,Completed,FC-02,2024-01-02,2024-01-04,Normal
ORD-500112,2024-01-01,SKU-10341,39,100.28,South,Cancelled,FC-04,2024-01-06,,Normal
ORD-500113,2024-01-01,SKU-10368,22,110.86,Northeast,Cancelled,FC-05,2024-01-04,,Normal
ORD-500114,2024-01-01,SKU-10081,12,87.08,Northeast,Returned,FC-03,2024-01-04,,Normal
ORD-500115,2024-01-01,SKU-10430,37,22.42,Northeast,Completed,FC-06,2024-01-06,2024-01-06,Normal
ORD-500116,2024-01-01,SKU-10225,28,11.67,South,Completed,FC-02,2024-01-02,2024-01-02,Normal
ORD-500117,2024-01-01,SKU-10163,46,147.03,West,Cancelled,FC-02,2024-01-06,,Normal
ORD-500118,2024-01-01,SKU-10196,12,7.49,Midwest,Completed,FC-01,2024-01-03,2024-01-05,Normal
ORD-500119,2024-01-01,SKU-10169,21,73.65,Northeast,Cancelled,FC-04,2024-01-02,,High
ORD-500120,2024-01-01,SKU-10426,30,99.22,Northeast,Returned,FC-05,2024-01-03,,Normal
ORD-500121,2024-01-01,SKU-10010,10,142.63,Northeast,Cancelled,FC-04,2024-01-05,,High
ORD-500122,2024-01-01,SKU-10180,34,42.83,Northeast,Completed,FC-04,2024-01-03,2024-01-03,Normal
ORD-500123,2024-01-01,SKU-10376,19,77.95,Midwest,Cancelled,FC-04,2024-01-02,,Normal
ORD-500124,2024-01-01,SKU-10223,5,104.17,West,Returned,FC-04,2024-01-03,,Normal
ORD-500125,2024-01-01,SKU-10347,49,130.74,Midwest,Returned,FC-04,2024-01-04,,Normal
ORD-500126,2024-01-01,SKU-10318,20,88.44,West,Cancelled,FC-04,2024-01-03,,Normal
ORD-500127,2024-01-01,SKU-10339,35,98.28,West,Completed,FC-06,2024-01-02,2024-01-01,Normal
ORD-500128,2024-01-01,SKU-10443,43,141.51,Midwest,Returned,FC-01,2024-01-04,,Normal
ORD-500129,2024-01-01,SKU-10167,1,144.37,Northeast,Completed,FC-03,2024-01-03,2024-01-04,Normal
ORD-500130,2024-01-01,SKU-10450,44,44.72,South,Returned,FC-04,2024-01-05,,Normal
ORD-500131,2024-01-01,SKU-10041,31,59.7,West,Returned,FC-06,2024-01-06,,Normal
ORD-500132,2024-01-01,SKU-10487,35,53.8,Midwest,Completed,FC-06,2024-01-03,2024-01-05,High
ORD-500133,2024-01-01,SKU-10490,29,127.51,West,Completed,FC-02,2024-01-03,2024-01-03,Normal
ORD-500134,2024-01-01,SKU-10010,34,42.8,Midwest,Cancelled,FC-02,2024-01-05,,Normal
ORD-500135,2024-01-01,SKU-10342,45,140.81,Midwest,Completed,FC-04,2024-01-05,2024-01-04,Normal
ORD-500136,2024-01-01,SKU-10392,21,145.3,Midwest,Completed,FC-05,2024-01-05,2024-01-05,Normal
ORD-500137,2024-01-01,SKU-10382,37,113.84,Midwest,Completed,FC-03,2024-01-04,2024-01-03,Normal
ORD-500138,2024-01-01,SKU-10013,35,64.83,Northeast,Completed,FC-04,2024-01-03,2024-01-02,Normal
ORD-500139,2024-01-01,SKU-10101,39,89.18,Midwest,Completed,FC-01,2024-01-06,2024-01-08,Normal
ORD-500140,2024-01-01,SKU-10154,49,103.58,West,Cancelled,FC-05,2024-01-02,,Normal
ORD-500141,2024-01-01,SKU-10177,35,19.95,Northeast,Cancelled,FC-06,2024-01-02,,Normal
ORD-500142,2024-01-01,SKU-10259,49,78.26,West,Completed,FC-04,2024-01-02,2024-01-02,Normal
ORD-500143,2024-01-01,SKU-10054,13,134.85,South,Returned,FC-06,2024-01-02,,Normal
ORD-500144,2024-01-01,SKU-10235,36,6.57,Northeast,Completed,FC-02,2024-01-02,2024-01-03,Normal
ORD-500145,2024-01-01,SKU-10494,12,56.46,Northeast,Completed,FC-04,2024-01-05,2024-01-05,Normal
ORD-500146,2024-01-01,SKU-10374,31,142.84,South,Cancelled,FC-03,2024-01-04,,Normal
ORD-500147,2024-01-01,SKU-10425,47,17.08,South,Completed,FC-04,2024-01-06,2024-01-07,Normal
ORD-500148,2024-01-01,SKU-10237,12,52.66,Northeast,Cancelled,FC-03,2024-01-04,,High
ORD-500149,2024-01-01,SKU-10435,21,114.09,Midwest,Completed,FC-04,2024-01-02,2024-01-03,Normal
ORD-500150,2024-01-01,SKU-10408,45,139.98,South,Completed,FC-03,2024-01-03,2024-01-04,Normal
ORD-500151,2024-01-01,SKU-10359,14,84.68,West,Completed,FC-05,2024-01-06,2024-01-07,Normal
ORD-500152,2024-01-01,SKU-10043,23,84.16,Northeast,Completed,FC-04,2024-01-04,2024-01-04,Normal
ORD-500153,2024-01-01,SKU-10123,47,25.73,Northeast,Returned,FC-04,2024-01-03,,Normal
ORD-500154,2024-01-01,SKU-10047,44,130.7,Midwest,Completed,FC-04,2024-01-06,2024-01-08,Normal
ORD-500155,2024-01-01,SKU-10156,42,62.51,South,Cancelled,FC-04,2024-01-04,,Normal
ORD-500156,2024-01-01,SKU-10176,2,16.8,South,Returned,FC-03,2024-01-06,,Normal
ORD-500157,2024-01-01,SKU-10138,38,148.06,South,Completed,FC-02,2024-01-06,2024-01-05,Normal
ORD-500158,2024-01-01,SKU-10098,22,122.86,West,Completed,FC-06,2024-01-02,2024-01-01,Normal
ORD-500159,2024-01-01,SKU-10390,4,55.78,Midwest,Completed,FC-02,2024-01-05,2024-01-06,Normal
ORD-500160,2024-01-01,SKU-10141,19,117.69,South,Cancelled,FC-01,2024-01-04,,Normal
ORD-500161,2024-01-01,SKU-10151,10,136.42,South,Completed,FC-02,2024-01-04,2024-01-03,Normal
ORD-500162,2024-01-01,SKU-10362,13,63.75,Midwest,Cancelled,FC-03,2024-01-03,,High
ORD-500163,2024-01-01,SKU-10027,20,22.23,South,Cancelled,FC-06,2024-01-06,,Normal
ORD-500164,2024-01-01,SKU-10326,41,112.91,West,Returned,FC-01,2024-01-04,,Normal
ORD-500165,2024-01-01,SKU-10240,13,39.44,Northeast,Returned,FC-03,2024-01-02,,Normal
ORD-500166,2024-01-01,SKU-10026,49,17.02,Northeast,Completed,FC-01,2024-01-02,2024-01-02,Normal
ORD-500167,2024-01-01,SKU-10205,6,121.31,West,Returned,FC-05,2024-01-06,,Normal
ORD-500168,2024-01-01,SKU-10027,32,85.62,Midwest,Completed,FC-05,2024-01-06,2024-01-08,Normal
ORD-500169,2024-01-01,SKU-10043,21,148.98,West,Completed,FC-05,2024-01-06,2024-01-08,Normal
ORD-500170,2024-01-01,SKU-10310,35,105.83,Midwest,Cancelled,FC-05,2024-01-02,,Normal
ORD-500171,2024-01-01,SKU-10465,18,29.1,South,Returned,FC-05,2024-01-02,,Normal
ORD-500172,2024-01-01,SKU-10156,14,47.7,West,Cancelled,FC-05,2024-01-02,,Normal
ORD-500173,2024-01-01,SKU-10050,3,135.67,Midwest,Completed,FC-03,2024-01-02,2024-01-03,Normal
ORD-500174,2024-01-01,SKU-10080,12,144.01,Midwest,Completed,FC-05,2024-01-05,2024-01-07,High
ORD-500175,2024-01-01,SKU-10001,28,53.67,Northeast,Returned,FC-06,2024-01-03,,Normal
ORD-500176,2024-01-01,SKU-10149,28,98.79,Midwest,Completed,FC-03,2024-01-03,2024-01-05,Normal
ORD-500177,2024-01-01,SKU-10359,28,16.27,West,Returned,FC-06,2024-01-02,,Normal
ORD-500178,2024-01-01,SKU-10135,36,148.0,Midwest,Cancelled,FC-04,2024-01-02,,Normal
ORD-500179,2024-01-01,SKU-10115,9,49.88,South,Completed,FC-02,2024-01-05,2024-01-04,High
ORD-500180,2024-01-01,SKU-10084,28,44.29,South,Completed,FC-04,2024-01-06,2024-01-06,Normal
ORD-500181,2024-01-01,SKU-10352,35,124.27,Northeast,Completed,FC-03,2024-01-03,2024-01-04,Normal
ORD-500182,2024-01-01,SKU-10252,5,93.95,West,Returned,FC-05,2024-01-03,,High
ORD-500183,2024-01-01,SKU-10221,10,140.25,South,Completed,FC-01,2024-01-03,2024-01-04,High
ORD-500184,2024-01-01,SKU-10492,45,28.9,West,Cancelled,FC-06,2024-01-02,,Normal
ORD-500185,2024-01-01,SKU-10295,1,74.65,Midwest,Completed,FC-04,2024-01-02,2024-01-03,Normal
ORD-500186,2024-01-01,SKU-10226,21,113.69,Midwest,Completed,FC-05,2024-01-02,2024-01-02,Normal
ORD-500187,2024-01-01,SKU-10416,27,87.52,West,Returned,FC-04,2024-01-02,,Normal
ORD-500188,2024-01-01,SKU-10170,34,10.34,West,Completed,FC-02,2024-01-02,2024-01-01,Normal
ORD-500189,2024-01-01,SKU-10355,48,15.93,South,Returned,FC-06,2024-01-05,,Normal
ORD-500190,2024-01-01,SKU-10416,17,82.48,West,Cancelled,FC-04,2024-01-06,,High
ORD-500191,2024-01-01,SKU-10129,38,137.41,West,Completed,FC-04,2024-01-06,2024-01-05,Normal
ORD-500192,2024-01-01,SKU-10422,37,114.78,Northeast,Completed,FC-04,2024-01-04,2024-01-03,High
ORD-500193,2024-01-01,SKU-10265,21,70.33,Northeast,Completed,FC-06,2024-01-02,2024-01-03,Normal
ORD-500194,2024-01-01,SKU-10026,45,92.9,South,Completed,FC-05,2024-01-02,2024-01-01,Normal
ORD-500195,2024-01-01,SKU-10147,40,94.63,Northeast,Returned,FC-01,2024-01-05,,High
ORD-500196,2024-01-01,SKU-10322,31,21.47,Midwest,Cancelled,FC-06,2024-01-03,,Normal
ORD-500197,2024-01-01,SKU-10282,34,74.05,Northeast,Completed,FC-01,2024-01-04,2024-01-05,Normal
ORD-500198,2024-01-01,SKU-10430,12,123.38,Northeast,Completed,FC-01,2024-01-05,2024-01-04,Normal
ORD-500199,2024-01-01,SKU-10078,30,132.11,South,Returned,FC-05,2024-01-02,,Normal
ORD-500200,2024-01-01,SKU-10212,17,24.43,Northeast,Returned,FC-02,2024-01-06,,Normal
ORD-500201,2024-01-01,SKU-10074,21,97.71,Midwest,Returned,FC-05,2024-01-04,,Normal
ORD-500202,2024-01-01,SKU-10450,39,24.77,West,Completed,FC-03,2024-01-05,2024-01-05,Normal
ORD-500203,2024-01-01,SKU-10437,38,93.17,South,Returned,FC-05,2024-01-03,,Normal
ORD-500204,2024-01-01,SKU-10001,30,85.45,South,Completed,FC-05,2024-01-04,2024-01-05,Normal
ORD-500205,2024-01-01,SKU-10337,34,55.5,Midwest,Returned,FC-04,2024-01-02,,Normal
ORD-500206,2024-01-01,SKU-10176,24,137.02,Northeast,Completed,FC-04,2024-01-03,2024-01-04,Normal
ORD-500207,2024-01-01,SKU-10445,17,142.68,Midwest,Completed,FC-05,2024-01-05,2024-01-05,Normal
ORD-500208,2024-01-01,SKU-10438,17,76.36,West,Returned,FC-03,2024-01-05,,Normal
ORD-500209,2024-01-01,SKU-10361,20,71.57,Northeast,Returned,FC-06,2024-01-03,,Normal
ORD-500210,2024-01-01,SKU-10333,6,76.43,Northeast,Completed,FC-01,2024-01-06,2024-01-06,Normal
ORD-500211,2024-01-01,SKU-10494,43,89.05,South,Cancelled,FC-01,2024-01-04,,Normal
ORD-500212,2024-01-01,SKU-10225,47,23.69,Northeast,Completed,FC-01,2024-01-04,2024-01-04,Normal
ORD-500213,2024-01-01,SKU-10209,16,97.93,West,Completed,FC-04,2024-01-05,2024-01-07,Normal
ORD-500214,2024-01-01,SKU-10135,25,135.03,Northeast,Completed,FC-06,2024-01-04,2024-01-05,High
ORD-500215,2024-01-01,SKU-10168,29,146.1,Northeast,Cancelled,FC-03,2024-01-06,,Normal
ORD-500216,2024-01-01,SKU-10454,19,124.16,West,Returned,FC-05,2024-01-03,,High
ORD-500217,2024-01-01,SKU-10323,28,55.4,Midwest,Completed,FC-06,2024-01-06,2024-01-06,High
ORD-500218,2024-01-01,SKU-10050,1,82.49,Northeast,Completed,FC-02,2024-01-05,2024-01-05,Normal
ORD-500219,2024-01-01,SKU-10462,46,57.82,West,Completed,FC-03,2024-01-03,2024-01-02,Normal
ORD-500220,2024-01-01,SKU-10150,27,10.7,South,Completed,FC-04,2024-01-02,2024-01-03,Normal
ORD-500221,2024-01-01,SKU-10271,22,16.86,Midwest,Returned,FC-02,2024-01-04,,Normal
ORD-500222,2024-01-01,SKU-10312,48,13.86,Midwest,Returned,FC-04,2024-01-03,,Normal
ORD-500223,2024-01-01,SKU-10073,36,121.9,Northeast,Completed,FC-06,2024-01-02,2024-01-03,Normal
ORD-500224,2024-01-01,SKU-10130,15,82.81,Northeast,Completed,FC-03,2024-01-03,2024-01-05,Normal
ORD-500225,2024-01-01,SKU-10080,23,82.03,Northeast,Completed,FC-03,2024-01-03,2024-01-02,Normal
ORD-500226,2024-01-01,SKU-10153,26,10.32,South,Returned,FC-04,2024-01-04,,Normal
ORD-500227,2024-01-01,SKU-10101,7,104.64,Northeast,Returned,FC-01,2024-01-04,,Normal
ORD-500228,2024-01-01,SKU-10292,47,9.42,South,Completed,FC-06,2024-01-03,2024-01-03,Normal
ORD-500229,2024-01-01,SKU-10424,38,82.23,South,Returned,FC-01,2024-01-02,,Normal
ORD-500230,2024-01-01,SKU-10351,37,31.43,Northeast,Completed,FC-03,2024-01-02,2024-01-01,Normal
ORD-500231,2024-01-01,SKU-10117,39,17.93,South,Cancelled,FC-02,2024-01-05,,Normal
ORD-500232,2024-01-01,SKU-10317,25,134.13,Midwest,Completed,FC-06,2024-01-05,2024-01-04,High
ORD-500233,2024-01-01,SKU-10321,4,56.49,South,Completed,FC-04,2024-01-02,2024-01-01,High
ORD-500234,2024-01-01,SKU-10186,18,17.6,West,Completed,FC-03,2024-01-03,2024-01-04,Normal
ORD-500235,2024-01-01,SKU-10212,8,90.05,Midwest,Completed,FC-02,2024-01-05,2024-01-06,Normal
ORD-500236,2024-01-01,SKU-10448,42,46.15,South,Completed,FC-02,2024-01-05,2024-01-05,Normal
ORD-500237,2024-01-01,SKU-10422,34,40.43,South,Returned,FC-06,2024-01-04,,Normal
ORD-500238,2024-01-01,SKU-10411,45,52.9,Northeast,Completed,FC-01,2024-01-02,2024-01-01,Normal
ORD-500239,2024-01-01,SKU-10494,22,37.67,Northeast,Completed,FC-05,2024-01-05,2024-01-05,Normal
ORD-500240,2024-01-01,SKU-10404,11,17.74,West,Returned,FC-03,2024-01-02,,Normal
ORD-500241,2024-01-01,SKU-10232,3,81.05,South,Completed,FC-05,2024-01-06,2024-01-08,Normal
ORD-500242,2024-01-01,SKU-10326,24,21.25,West,Completed,FC-06,2024-01-03,2024-01-05,Normal
ORD-500243,2024-01-01,SKU-10012,28,138.02,South,Cancelled,FC-05,2024-01-02,,Normal
ORD-500244,2024-01-01,SKU-10032,30,29.78,South,Returned,FC-06,2024-01-04,,Normal
ORD-500245,2024-01-01,SKU-10071,2,85.73,West,Completed,FC-03,2024-01-03,2024-01-04,Normal
ORD-500246,2024-01-01,SKU-10059,45,116.58,Midwest,Completed,FC-05,2024-01-03,2024-01-03,Normal
ORD-500247,2024-01-01,SKU-10232,4,66.69,Northeast,Completed,FC-05,2024-01-02,2024-01-04,Normal
ORD-500248,2024-01-01,SKU-10079,49,81.83,West,Returned,FC-04,2024-01-02,,Normal
ORD-500249,2024-01-01,SKU-10480,26,116.33,West,Completed,FC-06,2024-01-06,2024-01-06,Normal
