date,sku,supplier_id,inventory_level,reorder_point,reorder_qty,on_order_qty,lead_time_days
2024-01-01,SKU-10055,SUP-246,1490,591,1658,0,5
2024-01-01,SKU-10056,SUP-229,363,232,1187,0,14
2024-01-01,SKU-10057,SUP-234,930,669,1898,0,8
2024-01-01,SKU-10058,SUP-207,2850,429,1888,0,5
2024-01-01,SKU-10059,SUP-224,2568,482,526,0,4
2024-01-01,SKU-10060,SUP-205,791,483,1378,0,3
2024-01-01,SKU-10061,SUP-235,482,715,1046,1046,3
2024-01-01,SKU-10062,SUP-218,61,572,1017,1017,5
2024-01-01,SKU-10063,SUP-240,1822,479,1872,0,3
2024-01-01,SKU-10064,SUP-239,297,298,1199,1199,3
2024-01-01,SKU-10065,SUP-223,1163,327,517,0,11
2024-01-01,SKU-10066,SUP-236,1795,769,1846,0,10
2024-01-01,SKU-10067,SUP-212,2800,487,1353,0,9
2024-01-01,SKU-10068,SUP-245,115,303,1916,1916,13
2024-01-01,SKU-10069,SUP-204,297,676,1258,1258,12
2024-01-01,SKU-10070,SUP-202,1931,607,1024,0,14
2024-01-01,SKU-10071,SUP-242,1485,235,1184,0,6
2024-01-01,SKU-10072,SUP-214,2451,711,899,0,14
2024-01-01,SKU-10073,SUP-249,1905,553,1333,0,9
2024-01-01,SKU-10074,SUP-218,1987,250,1074,0,8
2024-01-01,SKU-10075,SUP-205,2394,541,804,0,6
2024-01-01,SKU-10076,SUP-214,702,253,1502,0,14
2024-01-01,SKU-10077,SUP-206,2743,252,1503,0,14
2024-01-01,SKU-10078,SUP-224,0,395,1273,1273,6
2024-01-01,SKU-10079,SUP-217,38,468,869,869,14
2024-01-01,SKU-10080,SUP-229,1100,257,1869,0,7
2024-01-01,SKU-10081,SUP-240,145,326,1916,1916,14
2024-01-01,SKU-10082,SUP-223,974,257,1133,0,3
2024-01-01,SKU-10083,SUP-210,2844,317,1059,0,11
2024-01-01,SKU-10084,SUP-223,461,471,1712,1712,9
2024-01-01,SKU-10085,SUP-222,725,446,1599,0,12
2024-01-01,SKU-10086,SUP-213,1684,484,1743,0,7
2024-01-01,SKU-10087,SUP-242,1005,652,1727,0,12
2024-01-01,SKU-10088,SUP-217,2527,750,1812,0,7
2024-01-01,SKU-10089,SUP-244,2151,299,1301,0,6
2024-01-01,SKU-10090,SUP-243,2804,524,1015,0,10
2024-01-01,SKU-10091,SUP-241,424,696,1395,1395,13
2024-01-01,SKU-10092,SUP-204,802,579,1456,0,5
2024-01-01,SKU-10093,SUP-238,1715,776,1940,0,10
2024-01-01,SKU-10094,SUP-240,1113,484,896,0,14
2024-01-01,SKU-10095,SUP-210,1675,452,998,0,4
2024-01-01,SKU-10096,SUP-234,2092,289,1275,0,12
2024-01-01,SKU-10097,SUP-246,1601,395,1325,0,7
2024-01-01,SKU-10098,SUP-215,1665,612,1899,0,6
2024-01-01,SKU-10099,SUP-210,798,593,956,0,10
2024-01-01,SKU-10100,SUP-229,2231,747,1477,0,3
2024-01-01,SKU-10101,SUP-224,2197,568,778,0,11
2024-01-01,SKU-10102,SUP-217,933,472,561,0,6
2024-01-01,SKU-10103,SUP-240,1908,596,1198,0,5
2024-01-01,SKU-10104,SUP-244,2215,595,944,0,11
2024-01-01,SKU-10105,SUP-235,157,654,1217,1217,6
2024-01-01,SKU-10106,SUP-214,830,343,1384,0,7
2024-01-01,SKU-10107,SUP-243,461,668,1674,1674,11
2024-01-01,SKU-10108,SUP-220,1044,241,1709,0,9
2024-01-01,SKU-10109,SUP-249,2414,332,1686,0,9
2024-01-01,SKU-10110,SUP-249,748,787,1532,1532,12
2024-01-01,SKU-10111,SUP-203,1037,373,1691,0,12
2024-01-01,SKU-10112,SUP-214,1480,393,528,0,7
2024-01-01,SKU-10113,SUP-202,1453,695,1888,0,3
2024-01-01,SKU-10114,SUP-220,1385,416,1824,0,6
2024-01-01,SKU-10115,SUP-225,1848,451,1938,0,5
2024-01-01,SKU-10116,SUP-217,2475,381,666,0,13
2024-01-01,SKU-10117,SUP-204,714,730,538,538,5
2024-01-01,SKU-10118,SUP-213,137,257,975,975,10
2024-01-01,SKU-10119,SUP-236,792,560,1524,0,5
2024-01-01,SKU-10120,SUP-245,1995,389,1004,0,14
2024-01-01,SKU-10121,SUP-220,797,333,557,0,14
2024-01-01,SKU-10122,SUP-213,714,348,579,0,8
2024-01-01,SKU-10123,SUP-241,273,640,1925,1925,11
2024-01-01,SKU-10124,SUP-231,1639,572,1782,0,9
2024-01-01,SKU-10125,SUP-225,1052,557,1471,0,10
2024-01-01,SKU-10126,SUP-241,641,207,1645,0,14
2024-01-01,SKU-10127,SUP-229,2724,515,1701,0,14
2024-01-01,SKU-10128,SUP-209,2769,240,1239,0,13
2024-01-01,SKU-10129,SUP-216,2594,746,1776,0,8
2024-01-01,SKU-10130,SUP-208,1593,455,1208,0,11
2024-01-01,SKU-10131,SUP-215,2578,441,1774,0,7
2024-01-01,SKU-10132,SUP-247,1073,573,1588,0,4
2024-01-01,SKU-10133,SUP-235,303,481,562,562,11
2024-01-01,SKU-10134,SUP-234,2938,660,604,0,5
2024-01-01,SKU-10135,SUP-216,472,604,1322,1322,8
2024-01-01,SKU-10136,SUP-247,471,636,1546,1546,7
2024-01-01,SKU-10137,SUP-237,2732,344,1608,0,11
2024-01-01,SKU-10138,SUP-227,1991,250,1184,0,6
2024-01-01,SKU-10139,SUP-237,1447,687,533,0,14
2024-01-01,SKU-10140,SUP-225,2161,750,653,0,12
2024-01-01,SKU-10141,SUP-223,646,505,767,0,3
2024-01-01,SKU-10142,SUP-214,1035,600,1123,0,9
2024-01-01,SKU-10143,SUP-208,1258,777,574,0,5
2024-01-01,SKU-10144,SUP-232,2203,505,597,0,4
2024-01-01,SKU-10145,SUP-231,2857,634,946,0,4
2024-01-01,SKU-10146,SUP-205,1343,741,1258,0,12
2024-01-01,SKU-10147,SUP-248,2086,337,683,0,3
2024-01-01,SKU-10148,SUP-203,1427,707,1483,0,7
2024-01-01,SKU-10149,SUP-207,2678,252,1973,0,13
2024-01-01,SKU-10150,SUP-209,18,310,1260,1260,9
2024-01-01,SKU-10151,SUP-240,2891,573,1399,0,10
2024-01-01,SKU-10152,SUP-210,1785,394,1718,0,13
2024-01-01,SKU-10153,SUP-243,122,250,1926,1926,7
2024-01-01,SKU-10154,SUP-227,1027,733,1928,0,8
2024-01-01,SKU-10155,SUP-238,2771,545,1569,0,4
2024-01-01,SKU-10156,SUP-204,1981,272,1293,0,11
2024-01-01,SKU-10157,SUP-224,2064,413,738,0,10
2024-01-01,SKU-10158,SUP-224,2381,247,836,0,12
2024-01-01,SKU-10159,SUP-238,2941,207,1124,0,5
2024-01-01,SKU-10160,SUP-229,1320,255,1225,0,12
2024-01-01,SKU-10161,SUP-233,40,415,1909,1909,12
2024-01-01,SKU-10162,SUP-216,560,206,1526,0,9
2024-01-01,SKU-10163,SUP-235,2781,707,1797,0,12
2024-01-01,SKU-10164,SUP-200,2829,214,1715,0,11
2024-01-01,SKU-10165,SUP-243,1717,238,1796,0,9
2024-01-01,SKU-10166,SUP-246,2098,736,644,0,6
2024-01-01,SKU-10167,SUP-207,2095,593,566,0,11
2024-01-01,SKU-10168,SUP-243,2136,427,610,0,8
2024-01-01,SKU-10169,SUP-234,2061,568,1247,0,5
2024-01-01,SKU-10170,SUP-248,2462,717,1191,0,12
2024-01-01,SKU-10171,SUP-217,1793,576,1812,0,7
2024-01-01,SKU-10172,SUP-249,2779,781,1123,0,6
2024-01-01,SKU-10173,SUP-241,2919,549,1322,0,11
2024-01-01,SKU-10174,SUP-221,718,442,1042,0,10
2024-01-01,SKU-10175,SUP-207,283,422,505,505,4
2024-01-01,SKU-10176,SUP-218,483,203,1145,0,8
2024-01-01,SKU-10177,SUP-227,1658,640,693,0,13
2024-01-01,SKU-10178,SUP-210,1480,634,672,0,14
2024-01-01,SKU-10179,SUP-229,1689,609,1641,0,6
2024-01-01,SKU-10180,SUP-200,1881,312,639,0,3
2024-01-01,SKU-10181,SUP-246,2164,749,638,0,6
2024-01-01,SKU-10182,SUP-246,2980,209,760,0,9
2024-01-01,SKU-10183,SUP-216,1634,212,1691,0,4
2024-01-01,SKU-10184,SUP-232,1645,518,828,0,3
2024-01-01,SKU-10185,SUP-248,2877,618,1618,0,3
2024-01-01,SKU-10186,SUP-211,1633,435,833,0,7
2024-01-01,SKU-10187,SUP-232,329,787,1012,1012,10
2024-01-01,SKU-10188,SUP-206,1853,428,769,0,14
2024-01-01,SKU-10189,SUP-240,2901,364,504,0,5
2024-01-01,SKU-10190,SUP-219,106,331,1100,1100,12
2024-01-01,SKU-10191,SUP-240,2187,494,1115,0,5
2024-01-01,SKU-10192,SUP-232,2463,222,1074,0,3
2024-01-01,SKU-10193,SUP-238,2750,303,1562,0,5
2024-01-01,SKU-10194,SUP-212,154,778,890,890,5
2024-01-01,SKU-10195,SUP-209,2677,488,977,0,9
2024-01-01,SKU-10196,SUP-223,975,640,1620,0,7
2024-01-01,SKU-10197,SUP-248,1008,453,695,0,8
2024-01-01,SKU-10198,SUP-210,1938,716,1364,0,8
2024-01-01,SKU-10199,SUP-234,2897,427,715,0,6
2024-01-01,SKU-10200,SUP-249,2017,460,1680,0,6
2024-01-01,SKU-10201,SUP-233,2852,610,594,0,5
2024-01-01,SKU-10202,SUP-200,2857,482,568,0,6
2024-01-01,SKU-10203,SUP-238,27,749,1657,1657,10
2024-01-01,SKU-10204,SUP-220,2114,545,801,0,13
2024-01-01,SKU-10205,SUP-231,2430,409,1484,0,3
2024-01-01,SKU-10206,SUP-201,1670,659,1503,0,6
2024-01-01,SKU-10207,SUP-207,1305,326,1629,0,3
2024-01-01,SKU-10208,SUP-223,663,577,1513,0,5
2024-01-01,SKU-10209,SUP-219,2916,604,1869,0,6
2024-01-01,SKU-10210,SUP-215,1239,200,1066,0,5
2024-01-01,SKU-10211,SUP-203,973,336,701,0,6
2024-01-01,SKU-10212,SUP-215,2334,774,743,0,11
2024-01-01,SKU-10213,SUP-236,1641,585,1733,0,13
2024-01-01,SKU-10214,SUP-205,417,728,1139,1139,13
2024-01-01,SKU-10215,SUP-205,937,378,1705,0,10
2024-01-01,SKU-10216,SUP-246,27,360,676,676,13
2024-01-01,SKU-10217,SUP-231,638,668,1572,1572,9
2024-01-01,SKU-10218,SUP-204,855,560,1188,0,6
2024-01-01,SKU-10219,SUP-248,369,559,1060,1060,9
2024-01-01,SKU-10220,SUP-234,1760,517,531,0,3
2024-01-01,SKU-10221,SUP-249,489,343,1947,0,5
2024-01-01,SKU-10222,SUP-208,2155,789,1894,0,4
2024-01-01,SKU-10223,SUP-208,171,313,1745,1745,8
2024-01-01,SKU-10224,SUP-242,974,463,1424,0,9
2024-01-01,SKU-10225,SUP-230,880,657,661,0,14
2024-01-01,SKU-10226,SUP-235,2170,675,1701,0,9
2024-01-01,SKU-10227,SUP-210,866,642,827,0,8
2024-01-01,SKU-10228,SUP-216,2832,250,1506,0,10
2024-01-01,SKU-10229,SUP-233,2146,277,1811,0,10
2024-01-01,SKU-10230,SUP-238,2897,206,829,0,9
2024-01-01,SKU-10231,SUP-227,2204,346,1904,0,5
2024-01-01,SKU-10232,SUP-213,1633,281,1013,0,3
2024-01-01,SKU-10233,SUP-234,2942,585,1206,0,9
2024-01-01,SKU-10234,SUP-248,466,460,1304,0,8
2024-01-01,SKU-10235,SUP-246,1233,425,1576,0,14
2024-01-01,SKU-10236,SUP-244,1895,563,1803,0,3
2024-01-01,SKU-10237,SUP-212,2732,258,627,0,3
2024-01-01,SKU-10238,SUP-245,2655,751,736,0,11
2024-01-01,SKU-10239,SUP-219,1850,434,993,0,6
2024-01-01,SKU-10240,SUP-225,2775,308,1109,0,9
2024-01-01,SKU-10241,SUP-242,820,345,627,0,7
2024-01-01,SKU-10242,SUP-241,2080,240,1433,0,4
2024-01-01,SKU-10243,SUP-223,1669,787,841,0,7
2024-01-01,SKU-10244,SUP-228,2108,486,1145,0,13
2024-01-01,SKU-10245,SUP-233,160,467,1320,1320,9
2024-01-01,SKU-10246,SUP-228,1677,757,629,0,14
2024-01-01,SKU-10247,SUP-207,1829,491,1894,0,12
2024-01-01,SKU-10248,SUP-215,108,495,510,510,6
2024-01-01,SKU-10249,SUP-214,1188,426,1833,0,4
2024-01-01,SKU-10250,SUP-204,34,605,568,568,10
2024-01-01,SKU-10251,SUP-221,1367,347,1990,0,5
2024-01-01,SKU-10252,SUP-201,382,495,1540,1540,3
2024-01-01,SKU-10253,SUP-237,1270,241,524,0,9
2024-01-01,SKU-10254,SUP-235,113,371,1958,1958,8
2024-01-01,SKU-10255,SUP-214,2643,243,1316,0,3
2024-01-01,SKU-10256,SUP-237,363,696,511,511,10
2024-01-01,SKU-10257,SUP-214,421,280,873,0,8
2024-01-01,SKU-10258,SUP-200,1289,665,1612,0,14
2024-01-01,SKU-10259,SUP-204,470,737,546,546,12
2024-01-01,SKU-10260,SUP-245,1104,285,749,0,9
2024-01-01,SKU-10261,SUP-240,308,718,636,636,5
2024-01-01,SKU-10262,SUP-203,2754,697,1326,0,9
2024-01-01,SKU-10263,SUP-214,1509,422,1489,0,6
2024-01-01,SKU-10264,SUP-204,922,472,1682,0,10
2024-01-01,SKU-10265,SUP-202,2713,297,630,0,7
2024-01-01,SKU-10266,SUP-221,1177,238,996,0,6
2024-01-01,SKU-10267,SUP-204,1447,692,1949,0,14
2024-01-01,SKU-10268,SUP-232,367,613,750,750,9
2024-01-01,SKU-10269,SUP-215,1877,615,1562,0,6
2024-01-01,SKU-10270,SUP-217,57,444,1247,1247,11
2024-01-01,SKU-10271,SUP-242,241,465,1425,1425,11
2024-01-01,SKU-10272,SUP-231,297,776,502,502,10
2024-01-01,SKU-10273,SUP-213,2056,345,792,0,11
2024-01-01,SKU-10274,SUP-234,449,598,1316,1316,11
2024-01-01,SKU-10275,SUP-208,914,386,560,0,7
2024-01-01,SKU-10276,SUP-246,905,639,1842,0,10
2024-01-01,SKU-10277,SUP-236,39,425,1676,1676,9
2024-01-01,SKU-10278,SUP-236,2698,770,1833,0,7
2024-01-01,SKU-10279,SUP-230,1406,306,725,0,11
2024-01-01,SKU-10280,SUP-215,2353,716,553,0,9
2024-01-01,SKU-10281,SUP-230,2818,298,1543,0,12
2024-01-01,SKU-10282,SUP-226,1806,689,918,0,4
2024-01-01,SKU-10283,SUP-212,878,344,715,0,5
2024-01-01,SKU-10284,SUP-206,237,319,1392,1392,11
2024-01-01,SKU-10285,SUP-206,2399,556,1790,0,11
2024-01-01,SKU-10286,SUP-242,975,740,1718,0,11
2024-01-01,SKU-10287,SUP-227,2800,369,1020,0,10
2024-01-01,SKU-10288,SUP-222,1646,594,1454,0,4
2024-01-01,SKU-10289,SUP-227,950,237,827,0,13
2024-01-01,SKU-10290,SUP-226,1200,653,536,0,14
2024-01-01,SKU-10291,SUP-229,1774,792,1637,0,10
2024-01-01,SKU-10292,SUP-246,1353,548,614,0,12
2024-01-01,SKU-10293,SUP-203,1381,239,539,0,13
2024-01-01,SKU-10294,SUP-243,2054,461,715,0,5
2024-01-01,SKU-10295,SUP-241,2382,552,1070,0,13
2024-01-01,SKU-10296,SUP-241,2941,562,1056,0,11
2024-01-01,SKU-10297,SUP-206,1707,390,921,0,14
2024-01-01,SKU-10298,SUP-203,2012,756,1325,0,11
2024-01-01,SKU-10299,SUP-225,1122,625,1917,0,13
2024-01-01,SKU-10300,SUP-246,1583,555,1781,0,14
2024-01-01,SKU-10301,SUP-221,372,245,1636,0,11
2024-01-01,SKU-10302,SUP-206,2051,422,1365,0,14
2024-01-01,SKU-10303,SUP-215,450,564,1174,1174,8
2024-01-01,SKU-10304,SUP-212,2531,432,1747,0,4
2024-01-01,SKU-10305,SUP-212,1466,534,1745,0,7
2024-01-01,SKU-10306,SUP-234,1057,395,1415,0,6
2024-01-01,SKU-10307,SUP-228,1288,391,1540,0,14
2024-01-01,SKU-10308,SUP-208,870,221,973,0,10
2024-01-01,SKU-10309,SUP-227,2298,469,1203,0,14
2024-01-01,SKU-10310,SUP-211,728,659,1530,0,13
2024-01-01,SKU-10311,SUP-217,2159,737,1953,0,4
2024-01-01,SKU-10312,SUP-229,507,596,538,538,9
2024-01-01,SKU-10313,SUP-215,2860,329,1473,0,6
2024-01-01,SKU-10314,SUP-204,1572,581,1247,0,10
2024-01-01,SKU-10315,SUP-228,1058,502,1368,0,13
2024-01-01,SKU-10316,SUP-235,168,652,1910,1910,13
2024-01-01,SKU-10317,SUP-206,536,726,1685,1685,5
2024-01-01,SKU-10318,SUP-203,1921,723,1794,0,14
2024-01-01,SKU-10319,SUP-241,2319,783,1583,0,11
2024-01-01,SKU-10320,SUP-234,1678,508,1019,0,13
2024-01-01,SKU-10321,SUP-200,1750,398,886,0,14
2024-01-01,SKU-10322,SUP-205,759,577,1398,0,6
2024-01-01,SKU-10323,SUP-248,600,435,1020,0,8
2024-01-01,SKU-10324,SUP-215,1044,700,616,0,4
2024-01-01,SKU-10325,SUP-210,1386,594,1587,0,3
2024-01-01,SKU-10326,SUP-226,141,473,1843,1843,4
2024-01-01,SKU-10327,SUP-231,1385,365,510,0,11
2024-01-01,SKU-10328,SUP-230,2837,624,1915,0,13
2024-01-01,SKU-10329,SUP-213,216,752,900,900,14
2024-01-01,SKU-10330,SUP-225,1706,509,1609,0,14
2024-01-01,SKU-10331,SUP-203,2714,201,724,0,3
2024-01-01,SKU-10332,SUP-210,1782,315,1417,0,9
2024-01-01,SKU-10333,SUP-224,2229,289,621,0,4
2024-01-01,SKU-10334,SUP-200,127,627,1828,1828,10
2024-01-01,SKU-10335,SUP-224,2024,208,1273,0,11
2024-01-01,SKU-10336,SUP-216,2320,569,1215,0,10
2024-01-01,SKU-10337,SUP-229,1712,517,1607,0,13
2024-01-01,SKU-10338,SUP-218,2514,658,1607,0,6
2024-01-01,SKU-10339,SUP-227,0,714,1650,1650,11
2024-01-01,SKU-10340,SUP-244,950,211,586,0,14
2024-01-01,SKU-10341,SUP-246,1606,442,621,0,5
2024-01-01,SKU-10342,SUP-235,740,508,1194,0,5
2024-01-01,SKU-10343,SUP-242,2043,551,811,0,11
2024-01-01,SKU-10344,SUP-245,1042,234,944,0,8
2024-01-01,SKU-10345,SUP-231,1976,531,1361,0,7
2024-01-01,SKU-10346,SUP-209,225,603,1304,1304,6
2024-01-01,SKU-10347,SUP-212,2762,581,1031,0,14
2024-01-01,SKU-10348,SUP-218,2240,619,1773,0,7
2024-01-01,SKU-10349,SUP-213,1560,534,1941,0,6
2024-01-01,SKU-10350,SUP-203,1849,570,685,0,8
2024-01-01,SKU-10351,SUP-237,715,436,1029,0,10
2024-01-01,SKU-10352,SUP-247,2060,719,599,0,9
2024-01-01,SKU-10353,SUP-234,1016,533,501,0,9
2024-01-01,SKU-10354,SUP-203,2362,752,817,0,8
2024-01-01,SKU-10355,SUP-247,1817,213,1003,0,9
2024-01-01,SKU-10356,SUP-220,2015,329,1337,0,3
2024-01-01,SKU-10357,SUP-203,2103,265,1686,0,7
2024-01-01,SKU-10358,SUP-203,306,502,786,786,13
2024-01-01,SKU-10359,SUP-237,706,791,1343,1343,11
2024-01-01,SKU-10360,SUP-230,1238,475,1471,0,3
2024-01-01,SKU-10361,SUP-232,2387,483,1644,0,13
2024-01-01,SKU-10362,SUP-233,1998,696,655,0,8
2024-01-01,SKU-10363,SUP-210,596,533,1468,0,7
2024-01-01,SKU-10364,SUP-203,1108,200,618,0,5
2024-01-01,SKU-10365,SUP-232,229,360,1508,1508,5
2024-01-01,SKU-10366,SUP-205,1308,689,775,0,7
2024-01-01,SKU-10367,SUP-211,2337,325,716,0,4
2024-01-01,SKU-10368,SUP-204,1260,422,1707,0,13
2024-01-01,SKU-10369,SUP-238,971,350,883,0,6
2024-01-01,SKU-10370,SUP-204,1326,574,1531,0,4
2024-01-01,SKU-10371,SUP-243,1326,551,1881,0,7
2024-01-01,SKU-10372,SUP-215,1523,374,1716,0,9
2024-01-01,SKU-10373,SUP-225,1119,344,802,0,10
2024-01-01,SKU-10374,SUP-207,606,544,1313,0,6
2024-01-01,SKU-10375,SUP-236,2938,346,1810,0,7
2024-01-01,SKU-10376,SUP-215,1349,560,1743,0,4
2024-01-01,SKU-10377,SUP-237,1037,784,1684,0,11
2024-01-01,SKU-10378,SUP-238,1190,784,1088,0,11
2024-01-01,SKU-10379,SUP-202,1340,580,1625,0,6
2024-01-01,SKU-10380,SUP-239,1709,653,896,0,11
2024-01-01,SKU-10381,SUP-205,832,530,1867,0,8
2024-01-01,SKU-10382,SUP-226,456,264,1599,0,12
2024-01-01,SKU-10383,SUP-242,741,672,1940,0,3
2024-01-01,SKU-10384,SUP-237,791,301,1790,0,5
2024-01-01,SKU-10385,SUP-236,2971,202,584,0,12
2024-01-01,SKU-10386,SUP-233,2418,649,953,0,14
2024-01-01,SKU-10387,SUP-220,2755,332,803,0,7
2024-01-01,SKU-10388,SUP-216,1839,242,1443,0,9
2024-01-01,SKU-10389,SUP-213,1394,697,863,0,13
2024-01-01,SKU-10390,SUP-242,2544,606,1118,0,9
2024-01-01,SKU-10391,SUP-245,379,316,1647,0,11
2024-01-01,SKU-10392,SUP-220,1867,523,1288,0,8
2024-01-01,SKU-10393,SUP-215,843,533,1463,0,7
2024-01-01,SKU-10394,SUP-216,2605,355,790,0,10
2024-01-01,SKU-10395,SUP-225,194,788,1143,1143,12
2024-01-01,SKU-10396,SUP-208,433,550,1631,1631,12
2024-01-01,SKU-10397,SUP-242,1082,511,1764,0,12
2024-01-01,SKU-10398,SUP-241,493,235,1607,0,6
2024-01-01,SKU-10399,SUP-219,1835,584,1695,0,10
2024-01-01,SKU-10400,SUP-229,1693,758,1390,0,9
2024-01-01,SKU-10401,SUP-220,1254,225,1020,0,12
2024-01-01,SKU-10402,SUP-248,952,783,651,0,3
2024-01-01,SKU-10403,SUP-204,912,779,549,0,10
2024-01-01,SKU-10404,SUP-200,2569,259,1690,0,12
2024-01-01,SKU-10405,SUP-229,167,760,982,982,14
2024-01-01,SKU-10406,SUP-239,1221,631,1304,0,5
2024-01-01,SKU-10407,SUP-236,1067,789,1600,0,11
2024-01-01,SKU-10408,SUP-206,1009,519,762,0,7
2024-01-01,SKU-10409,SUP-204,1550,366,958,0,9
2024-01-01,SKU-10410,SUP-234,744,730,1741,0,8
2024-01-01,SKU-10411,SUP-213,2660,366,1120,0,6
2024-01-01,SKU-10412,SUP-232,737,272,1147,0,3
2024-01-01,SKU-10413,SUP-216,1935,624,1498,0,6
2024-01-01,SKU-10414,SUP-208,1846,716,927,0,13
2024-01-01,SKU-10415,SUP-222,242,429,566,566,8
2024-01-01,SKU-10416,SUP-204,2461,458,841,0,8
2024-01-01,SKU-10417,SUP-215,1242,408,853,0,9
2024-01-01,SKU-10418,SUP-223,1796,463,1161,0,14
2024-01-01,SKU-10419,SUP-218,1520,652,786,0,11
2024-01-01,SKU-10420,SUP-210,295,645,1169,1169,11
2024-01-01,SKU-10421,SUP-228,2181,599,1479,0,5
2024-01-01,SKU-10422,SUP-234,1740,436,1802,0,14
2024-01-01,SKU-10423,SUP-245,2661,716,1771,0,14
2024-01-01,SKU-10424,SUP-219,2338,485,648,0,6
2024-01-01,SKU-10425,SUP-239,2512,360,1512,0,14
2024-01-01,SKU-10426,SUP-241,1578,680,613,0,4
2024-01-01,SKU-10427,SUP-233,2414,648,1334,0,6
2024-01-01,SKU-10428,SUP-200,1761,461,1942,0,8
2024-01-01,SKU-10429,SUP-242,2195,515,1624,0,6
2024-01-01,SKU-10430,SUP-235,568,438,1060,0,12
2024-01-01,SKU-10431,SUP-219,2734,628,1681,0,10
2024-01-01,SKU-10432,SUP-242,1650,266,1530,0,6
2024-01-01,SKU-10433,SUP-206,97,329,1430,1430,4
2024-01-01,SKU-10434,SUP-208,1892,736,1292,0,8
2024-01-01,SKU-10435,SUP-216,1308,309,835,0,8
2024-01-01,SKU-10436,SUP-207,203,635,1398,1398,5
2024-01-01,SKU-10437,SUP-206,1917,224,1640,0,4
2024-01-01,SKU-10438,SUP-247,1029,278,1696,0,14
2024-01-01,SKU-10439,SUP-235,122,291,1042,1042,6
2024-01-01,SKU-10440,SUP-209,1712,646,889,0,13
